production_id,product_id,production_date,line_id,qty_produced,shift,machine_id,operator_id,status
PRD-000072,FP-010,2022-05-22,Line-C,12,Night,MCH-11,OPR-057,Partial
PRD-000073,FP-008,2023-12-18,Line-A,6,Morning,MCH-06,OPR-019,Scrapped
PRD-000074,FP-007,2023-02-23,Line-C,9,Afternoon,MCH-12,OPR-037,Completed
PRD-000075,FP-009,2024-08-15,Line-D,18,Morning,MCH-03,OPR-043,Partial
PRD-000076,FP-008,2022-01-16,Line-D,19,Morning,MCH-05,OPR-019,Completed
PRD-000077,FP-001,2023-11-17,Line-C,10,Morning,MCH-14,OPR-056,Completed
PRD-000078,FP-010,2024-12-12,Line-B,24,Night,MCH-05,OPR-005,Completed
PRD-000079,FP-003,2023-02-02,Line-C,6,Afternoon,MCH-04,OPR-060,Completed
PRD-000080,FP-007,2023-06-22,Line-A,30,Night,MCH-11,OPR-023,Partial
PRD-000081,FP-003,2024-10-15,Line-D,40,Night,MCH-01,OPR-039,Completed
PRD-000082,FP-005,2022-11-02,Line-C,22,Night,MCH-02,OPR-057,Completed
PRD-000083,FP-005,2023-05-30,Line-B,3,Morning,MCH-08,OPR-057,Completed
PRD-000084,FP-008,2023-05-06,Line-B,6,Night,MCH-10,OPR-035,Completed
PRD-000085,FP-010,2023-11-19,Line-B,22,Morning,MCH-10,OPR-022,Completed
PRD-000086,FP-009,2023-07-07,Line-D,13,Morning,MCH-08,OPR-056,Completed
PRD-000087,FP-009,2024-09-27,Line-D,20,Afternoon,MCH-03,OPR-007,Partial
PRD-000088,FP-006,2022-03-10,Line-B,11,Night,MCH-14,OPR-014,Partial
PRD-000089,FP-003,2022-01-30,Line-B,6,Morning,MCH-08,OPR-057,Partial
PRD-000090,FP-002,2022-05-03,Line-D,18,Afternoon,MCH-03,OPR-002,Completed
PRD-000091,FP-010,2022-10-13,Line-B,21,Afternoon,MCH-09,OPR-039,Completed
PRD-000092,FP-007,2024-02-13,Line-A,23,Morning,MCH-01,OPR-044,Scrapped
PRD-000093,FP-004,2023-12-10,Line-D,6,Morning,MCH-09,OPR-046,Completed
PRD-000094,FP-010,2023-02-28,Line-A,18,Afternoon,MCH-11,OPR-032,Scrapped
PRD-000095,FP-001,2023-03-20,Line-B,9,Afternoon,MCH-15,OPR-050,Completed
PRD-000096,FP-001,2022-10-28,Line-A,24,Morning,MCH-09,OPR-032,Partial
PRD-000097,FP-005,2024-01-18,Line-C,2,Afternoon,MCH-01,OPR-026,Completed
PRD-000098,FP-002,2024-09-21,Line-D,8,Afternoon,MCH-05,OPR-013,Completed
PRD-000099,FP-007,2024-12-06,Line-C,22,Night,MCH-10,OPR-006,Completed
PRD-000100,FP-007,2022-05-04,Line-C,9,Night,MCH-10,OPR-002,Completed
PRD-000101,FP-003,2024-07-22,Line-D,25,Night,MCH-12,OPR-013,Completed
PRD-000102,FP-002,2024-08-24,Line-C,22,Morning,MCH-13,OPR-032,Partial
PRD-000103,FP-008,2023-05-03,Line-C,4,Night,MCH-10,OPR-031,Partial
PRD-000104,FP-009,2023-10-06,Line-B,5,Morning,MCH-04,OPR-002,Partial
PRD-000105,FP-010,2022-06-12,Line-B,17,Night,MCH-08,OPR-002,Completed
PRD-000106,FP-010,2022-08-01,Line-C,14,Morning,MCH-03,OPR-006,Completed
PRD-000107,FP-008,2022-06-16,Line-D,6,Morning,MCH-15,OPR-013,Partial
PRD-000108,FP-006,2024-10-19,Line-A,37,Afternoon,MCH-02,OPR-047,Completed
PRD-000109,FP-002,2024-07-05,Line-C,23,Afternoon,MCH-07,OPR-009,Completed
PRD-000110,FP-005,2023-04-03,Line-C,22,Morning,MCH-15,OPR-010,Completed
PRD-000111,FP-003,2023-03-21,Line-D,19,Morning,MCH-09,OPR-048,Completed
PRD-000112,FP-005,2022-01-25,Line-A,30,Morning,MCH-03,OPR-058,Scrapped
PRD-000113,FP-009,2023-11-22,Line-A,9,Morning,MCH-04,OPR-035,Completed
PRD-000114,FP-006,2024-07-12,Line-C,23,Morning,MCH-06,OPR-039,Completed
PRD-000115,FP-008,2023-12-15,Line-D,28,Afternoon,MCH-09,OPR-001,Partial
PRD-000116,FP-007,2022-11-21,Line-A,29,Morning,MCH-08,OPR-030,Scrapped
PRD-000117,FP-007,2024-03-22,Line-A,11,Night,MCH-05,OPR-054,Scrapped
PRD-000118,FP-008,2024-07-01,Line-A,11,Afternoon,MCH-07,OPR-055,Completed
PRD-000119,FP-010,2024-11-19,Line-C,31,Night,MCH-02,OPR-024,Partial
PRD-000120,FP-007,2022-08-15,Line-B,14,Night,MCH-10,OPR-040,Scrapped
PRD-000121,FP-006,2022-07-16,Line-C,15,Night,MCH-12,OPR-024,Partial
PRD-000122,FP-007,2024-01-22,Line-C,5,Afternoon,MCH-11,OPR-031,Scrapped
PRD-000123,FP-007,2023-01-05,Line-A,30,Afternoon,MCH-09,OPR-052,Scrapped
PRD-000124,FP-009,2022-02-23,Line-A,13,Night,MCH-09,OPR-011,Partial
PRD-000125,FP-001,2022-04-03,Line-B,3,Afternoon,MCH-02,OPR-056,Completed
PRD-000126,FP-003,2022-08-16,Line-A,13,Night,MCH-07,OPR-050,Scrapped
PRD-000127,FP-001,2024-07-05,Line-A,13,Morning,MCH-02,OPR-025,Completed
PRD-000128,FP-009,2024-11-25,Line-D,31,Night,MCH-03,OPR-035,Completed
PRD-000129,FP-002,2023-10-06,Line-A,27,Night,MCH-13,OPR-001,Completed
PRD-000130,FP-005,2022-04-27,Line-A,26,Morning,MCH-10,OPR-024,Partial
PRD-000131,FP-002,2024-06-17,Line-D,9,Night,MCH-07,OPR-034,Completed
PRD-000132,FP-003,2023-03-15,Line-A,8,Morning,MCH-01,OPR-005,Completed
PRD-000133,FP-005,2024-09-02,Line-D,22,Afternoon,MCH-05,OPR-033,Partial
PRD-000134,FP-003,2023-09-23,Line-B,4,Morning,MCH-10,OPR-031,Completed
PRD-000135,FP-002,2023-01-08,Line-D,29,Morning,MCH-10,OPR-029,Partial
PRD-000136,FP-010,2024-12-20,Line-D,6,Morning,MCH-04,OPR-014,Completed
PRD-000137,FP-002,2023-09-13,Line-B,19,Afternoon,MCH-13,OPR-046,Completed
PRD-000138,FP-005,2023-03-05,Line-B,15,Morning,MCH-02,OPR-004,Completed
PRD-000139,FP-003,2022-09-01,Line-B,9,Afternoon,MCH-04,OPR-024,Scrapped
PRD-000140,FP-009,2024-07-24,Line-D,10,Afternoon,MCH-03,OPR-022,Scrapped
PRD-000141,FP-009,2022-04-05,Line-A,20,Morning,MCH-01,OPR-005,Partial
PRD-000142,FP-009,2022-01-21,Line-A,24,Night,MCH-10,OPR-044,Completed
PRD-000143,FP-008,2023-03-17,Line-A,14,Morning,MCH-02,OPR-052,Completed
PRD-000144,FP-005,2022-01-07,Line-D,5,Night,MCH-02,OPR-003,Scrapped
PRD-000145,FP-007,2023-01-19,Line-B,18,Morning,MCH-03,OPR-005,Completed
PRD-000146,FP-005,2023-09-13,Line-B,25,Morning,MCH-12,OPR-017,Completed
PRD-000147,FP-009,2022-07-12,Line-A,29,Morning,MCH-11,OPR-015,Completed
PRD-000148,FP-005,2023-07-16,Line-D,9,Morning,MCH-03,OPR-027,Completed
PRD-000149,FP-003,2024-01-08,Line-D,25,Afternoon,MCH-13,OPR-002,Completed
PRD-000150,FP-009,2024-12-01,Line-D,8,Afternoon,MCH-15,OPR-055,Completed
PRD-000151,FP-010,2023-04-23,Line-D,25,Afternoon,MCH-04,OPR-048,Completed
PRD-000152,FP-007,2024-01-04,Line-C,8,Morning,MCH-12,OPR-041,Completed
PRD-000153,FP-009,2023-06-27,Line-B,4,Afternoon,MCH-14,OPR-016,Completed
PRD-000154,FP-005,2022-01-06,Line-C,5,Afternoon,MCH-11,OPR-030,Completed
PRD-000155,FP-008,2022-11-24,Line-A,36,Morning,MCH-09,OPR-026,Scrapped
PRD-000156,FP-003,2024-08-27,Line-B,13,Afternoon,MCH-14,OPR-024,Completed
PRD-000157,FP-004,2022-05-17,Line-B,21,Afternoon,MCH-08,OPR-014,Completed
PRD-000158,FP-007,2022-01-29,Line-B,29,Night,MCH-06,OPR-033,Completed
PRD-000159,FP-006,2023-03-13,Line-C,25,Afternoon,MCH-01,OPR-026,Scrapped
PRD-000160,FP-002,2024-05-01,Line-A,5,Morning,MCH-11,OPR-003,Completed
PRD-000161,FP-007,2022-08-14,Line-A,22,Night,MCH-05,OPR-020,Scrapped
PRD-000162,FP-004,2024-05-17,Line-D,19,Morning,MCH-13,OPR-032,Completed
PRD-000163,FP-001,2024-09-15,Line-A,13,Morning,MCH-04,OPR-009,Partial
PRD-000164,FP-005,2023-05-09,Line-D,13,Night,MCH-01,OPR-054,Completed
PRD-000165,FP-005,2022-06-14,Line-C,10,Night,MCH-14,OPR-040,Completed
PRD-000166,FP-007,2023-01-05,Line-C,8,Night,MCH-14,OPR-029,Completed
PRD-000167,FP-010,2023-06-08,Line-D,7,Night,MCH-08,OPR-032,Completed
PRD-000168,FP-002,2023-12-24,Line-A,16,Morning,MCH-03,OPR-001,Completed
PRD-000169,FP-006,2024-11-02,Line-B,37,Night,MCH-13,OPR-045,Partial
PRD-000170,FP-002,2022-09-28,Line-C,25,Morning,MCH-09,OPR-004,Scrapped
PRD-000171,FP-007,2024-11-08,Line-C,13,Night,MCH-10,OPR-001,Completed
PRD-000172,FP-002,2022-07-22,Line-C,4,Morning,MCH-02,OPR-040,Scrapped
PRD-000173,FP-010,2022-04-15,Line-C,29,Afternoon,MCH-11,OPR-030,Scrapped
PRD-000174,FP-001,2024-10-26,Line-A,35,Afternoon,MCH-11,OPR-050,Completed
PRD-000175,FP-003,2022-03-03,Line-B,24,Morning,MCH-04,OPR-018,Completed
PRD-000176,FP-005,2023-01-10,Line-C,28,Morning,MCH-01,OPR-047,Scrapped
PRD-000177,FP-004,2022-08-02,Line-A,24,Night,MCH-11,OPR-051,Completed
PRD-000178,FP-005,2023-12-17,Line-A,9,Night,MCH-03,OPR-001,Completed
PRD-000179,FP-008,2022-11-27,Line-A,28,Morning,MCH-14,OPR-030,Scrapped
PRD-000180,FP-008,2022-08-11,Line-C,25,Night,MCH-14,OPR-021,Partial
PRD-000181,FP-004,2022-10-12,Line-A,13,Night,MCH-11,OPR-036,Completed
PRD-000182,FP-002,2023-11-10,Line-B,31,Morning,MCH-03,OPR-044,Completed
PRD-000183,FP-001,2022-01-13,Line-C,18,Morning,MCH-05,OPR-057,Completed
PRD-000184,FP-010,2024-07-31,Line-D,22,Afternoon,MCH-08,OPR-024,Partial
PRD-000185,FP-005,2022-05-16,Line-A,14,Night,MCH-12,OPR-011,Completed
PRD-000186,FP-009,2022-08-16,Line-A,2,Morning,MCH-09,OPR-009,Completed
PRD-000187,FP-004,2022-11-08,Line-A,16,Morning,MCH-15,OPR-042,Completed
PRD-000188,FP-008,2022-09-16,Line-B,16,Afternoon,MCH-06,OPR-022,Completed
PRD-000189,FP-007,2022-10-26,Line-B,32,Afternoon,MCH-14,OPR-046,Partial
PRD-000190,FP-009,2023-12-26,Line-B,33,Night,MCH-08,OPR-017,Completed
PRD-000191,FP-010,2024-05-28,Line-C,25,Morning,MCH-06,OPR-030,Scrapped
PRD-000192,FP-004,2023-11-15,Line-D,40,Morning,MCH-05,OPR-029,Scrapped
PRD-000193,FP-010,2023-06-24,Line-C,22,Night,MCH-15,OPR-002,Scrapped
PRD-000194,FP-010,2022-06-24,Line-C,11,Afternoon,MCH-06,OPR-032,Partial
PRD-000195,FP-001,2024-02-05,Line-A,4,Night,MCH-09,OPR-019,Partial
PRD-000196,FP-009,2023-03-19,Line-D,27,Morning,MCH-12,OPR-051,Scrapped
PRD-000197,FP-009,2023-07-12,Line-C,8,Night,MCH-05,OPR-006,Completed
PRD-000198,FP-001,2023-07-24,Line-A,20,Night,MCH-11,OPR-018,Completed
PRD-000199,FP-005,2023-07-23,Line-D,28,Morning,MCH-03,OPR-057,Completed
PRD-000200,FP-005,2024-02-08,Line-B,19,Night,MCH-14,OPR-053,Completed
PRD-000201,FP-004,2022-06-08,Line-B,20,Afternoon,MCH-13,OPR-043,Completed
PRD-000202,FP-003,2023-04-03,Line-C,16,Morning,MCH-13,OPR-059,Completed
PRD-000203,FP-009,2022-05-06,Line-A,6,Morning,MCH-02,OPR-057,Completed
PRD-000204,FP-010,2022-03-12,Line-D,24,Night,MCH-06,OPR-034,Completed
PRD-000205,FP-007,2023-12-04,Line-C,14,Afternoon,MCH-02,OPR-001,Completed
PRD-000206,FP-008,2022-04-25,Line-B,23,Afternoon,MCH-01,OPR-011,Completed
PRD-000207,FP-003,2024-08-29,Line-C,17,Night,MCH-06,OPR-047,Scrapped
PRD-000208,FP-007,2023-12-05,Line-D,21,Afternoon,MCH-07,OPR-033,Partial
PRD-000209,FP-003,2023-01-20,Line-C,6,Afternoon,MCH-08,OPR-035,Scrapped
PRD-000210,FP-005,2023-08-11,Line-D,15,Afternoon,MCH-04,OPR-051,Completed
PRD-000211,FP-001,2023-01-19,Line-A,8,Morning,MCH-12,OPR-055,Completed
PRD-000212,FP-005,2024-04-21,Line-B,23,Afternoon,MCH-03,OPR-032,Completed
PRD-000213,FP-004,2022-12-06,Line-C,39,Night,MCH-06,OPR-047,Partial
PRD-000214,FP-007,2023-08-27,Line-C,2,Morning,MCH-13,OPR-004,Scrapped
PRD-000215,FP-006,2023-08-25,Line-D,9,Afternoon,MCH-15,OPR-022,Completed
PRD-000216,FP-010,2023-05-27,Line-D,7,Afternoon,MCH-04,OPR-041,Partial
PRD-000217,FP-002,2024-01-04,Line-C,28,Afternoon,MCH-07,OPR-060,Completed
PRD-000218,FP-004,2022-02-12,Line-D,25,Morning,MCH-11,OPR-016,Completed
PRD-000219,FP-001,2024-11-23,Line-B,2,Morning,MCH-13,OPR-011,Partial
PRD-000220,FP-003,2023-07-07,Line-A,5,Morning,MCH-10,OPR-003,Scrapped
PRD-000221,FP-005,2022-02-27,Line-C,8,Morning,MCH-07,OPR-060,Scrapped
PRD-000222,FP-003,2023-11-13,Line-B,36,Afternoon,MCH-08,OPR-036,Scrapped
PRD-000223,FP-009,2024-11-03,Line-A,32,Morning,MCH-09,OPR-023,Scrapped
PRD-000224,FP-010,2022-03-28,Line-B,20,Morning,MCH-03,OPR-016,Scrapped
PRD-000225,FP-001,2023-05-10,Line-C,15,Afternoon,MCH-15,OPR-049,Completed
PRD-000226,FP-008,2022-07-15,Line-C,4,Night,MCH-08,OPR-051,Partial
PRD-000227,FP-010,2024-03-01,Line-B,2,Morning,MCH-05,OPR-008,Completed
PRD-000228,FP-003,2022-09-20,Line-B,15,Afternoon,MCH-03,OPR-055,Completed
PRD-000229,FP-007,2024-04-23,Line-D,25,Morning,MCH-09,OPR-047,Completed
PRD-000230,FP-008,2024-12-16,Line-B,18,Morning,MCH-04,OPR-032,Scrapped
PRD-000231,FP-003,2024-09-22,Line-C,17,Morning,MCH-10,OPR-014,Completed
PRD-000232,FP-002,2024-03-05,Line-A,5,Morning,MCH-13,OPR-056,Completed
PRD-000233,FP-009,2024-09-12,Line-C,24,Afternoon,MCH-03,OPR-038,Completed
PRD-000234,FP-004,2022-10-07,Line-B,20,Afternoon,MCH-12,OPR-034,Scrapped
PRD-000235,FP-007,2024-02-05,Line-B,30,Night,MCH-08,OPR-054,Completed
PRD-000236,FP-006,2023-07-10,Line-D,25,Night,MCH-03,OPR-040,Scrapped
PRD-000237,FP-004,2024-01-08,Line-A,5,Morning,MCH-09,OPR-049,Completed
PRD-000238,FP-008,2022-07-01,Line-C,16,Night,MCH-05,OPR-007,Completed
PRD-000239,FP-005,2024-02-02,Line-A,12,Night,MCH-07,OPR-043,Completed
PRD-000240,FP-001,2022-01-17,Line-B,21,Morning,MCH-14,OPR-032,Scrapped
PRD-000241,FP-003,2023-11-17,Line-B,21,Morning,MCH-05,OPR-038,Completed
PRD-000242,FP-008,2024-01-07,Line-C,11,Afternoon,MCH-13,OPR-053,Scrapped
PRD-000243,FP-001,2024-12-16,Line-A,28,Morning,MCH-10,OPR-016,Completed
PRD-000244,FP-006,2022-02-04,Line-D,4,Afternoon,MCH-03,OPR-038,Completed
PRD-000245,FP-009,2024-10-14,Line-A,12,Night,MCH-05,OPR-017,Scrapped
PRD-000246,FP-004,2022-02-24,Line-C,14,Afternoon,MCH-06,OPR-051,Scrapped
PRD-000247,FP-001,2024-10-27,Line-B,36,Morning,MCH-13,OPR-051,Partial
PRD-000248,FP-006,2022-01-18,Line-B,26,Night,MCH-06,OPR-056,Partial
PRD-000249,FP-008,2024-11-09,Line-D,18,Afternoon,MCH-01,OPR-012,Partial
PRD-000250,FP-002,2023-04-28,Line-A,20,Afternoon,MCH-13,OPR-019,Completed
PRD-000251,FP-008,2023-08-22,Line-C,6,Night,MCH-11,OPR-018,Completed
PRD-000252,FP-004,2022-04-10,Line-A,13,Morning,MCH-02,OPR-058,Scrapped
PRD-000253,FP-002,2023-02-11,Line-D,5,Afternoon,MCH-03,OPR-058,Completed
PRD-000254,FP-001,2024-07-07,Line-C,24,Night,MCH-15,OPR-001,Completed
PRD-000255,FP-001,2023-03-22,Line-B,24,Afternoon,MCH-05,OPR-036,Partial
PRD-000256,FP-004,2022-02-28,Line-C,25,Morning,MCH-07,OPR-010,Completed
PRD-000257,FP-002,2024-05-08,Line-B,24,Night,MCH-13,OPR-007,Completed
PRD-000258,FP-002,2023-06-15,Line-B,20,Morning,MCH-01,OPR-035,Scrapped
PRD-000259,FP-010,2024-04-10,Line-D,29,Night,MCH-10,OPR-009,Completed
PRD-000260,FP-005,2023-02-25,Line-A,19,Afternoon,MCH-02,OPR-048,Scrapped
PRD-000261,FP-010,2022-05-13,Line-D,5,Night,MCH-09,OPR-022,Completed
PRD-000262,FP-003,2023-03-24,Line-B,29,Night,MCH-01,OPR-060,Completed
PRD-000263,FP-005,2024-08-31,Line-B,16,Afternoon,MCH-08,OPR-036,Completed
PRD-000264,FP-009,2024-12-01,Line-D,32,Night,MCH-08,OPR-060,Completed
PRD-000265,FP-009,2024-12-10,Line-B,24,Morning,MCH-07,OPR-017,Partial
PRD-000266,FP-008,2024-10-10,Line-D,22,Night,MCH-15,OPR-017,Completed
PRD-000267,FP-001,2024-11-28,Line-C,9,Night,MCH-03,OPR-033,Completed
PRD-000268,FP-004,2022-05-03,Line-C,17,Night,MCH-10,OPR-022,Partial
PRD-000269,FP-001,2024-04-17,Line-C,18,Afternoon,MCH-01,OPR-046,Partial
PRD-000270,FP-001,2024-09-29,Line-A,2,Morning,MCH-12,OPR-037,Completed
PRD-000271,FP-003,2022-02-12,Line-A,5,Afternoon,MCH-09,OPR-021,Scrapped
PRD-000272,FP-001,2023-11-08,Line-D,40,Night,MCH-07,OPR-016,Completed
PRD-000273,FP-005,2024-03-29,Line-B,15,Night,MCH-12,OPR-012,Completed
PRD-000274,FP-008,2023-01-17,Line-D,23,Morning,MCH-12,OPR-044,Scrapped
PRD-000275,FP-005,2022-08-22,Line-B,26,Afternoon,MCH-06,OPR-002,Completed
PRD-000276,FP-004,2024-01-21,Line-A,27,Morning,MCH-15,OPR-005,Completed
PRD-000277,FP-009,2022-06-24,Line-B,8,Night,MCH-01,OPR-038,Completed
PRD-000278,FP-003,2023-02-24,Line-C,29,Morning,MCH-06,OPR-048,Completed
PRD-000279,FP-008,2024-08-25,Line-C,8,Night,MCH-06,OPR-020,Scrapped
PRD-000280,FP-004,2024-12-15,Line-D,28,Morning,MCH-14,OPR-041,Completed
PRD-000281,FP-002,2024-07-22,Line-A,6,Morning,MCH-08,OPR-003,Completed
PRD-000282,FP-005,2023-03-21,Line-B,6,Morning,MCH-10,OPR-060,Completed
PRD-000283,FP-004,2024-04-20,Line-D,29,Afternoon,MCH-05,OPR-057,Scrapped
PRD-000284,FP-007,2023-03-28,Line-A,10,Afternoon,MCH-08,OPR-045,Completed
PRD-000285,FP-005,2023-05-07,Line-A,7,Morning,MCH-14,OPR-001,Completed
PRD-000286,FP-007,2023-03-19,Line-A,18,Afternoon,MCH-08,OPR-005,Completed
PRD-000287,FP-008,2023-06-25,Line-D,7,Night,MCH-15,OPR-004,Completed
PRD-000288,FP-009,2023-01-09,Line-B,13,Afternoon,MCH-01,OPR-022,Completed
PRD-000289,FP-002,2022-12-20,Line-A,31,Morning,MCH-08,OPR-043,Completed
PRD-000290,FP-009,2024-01-31,Line-D,21,Night,MCH-11,OPR-035,Completed
PRD-000291,FP-007,2024-04-28,Line-D,19,Afternoon,MCH-04,OPR-023,Partial
PRD-000292,FP-006,2023-07-18,Line-A,9,Afternoon,MCH-05,OPR-009,Completed
PRD-000293,FP-002,2024-04-14,Line-B,30,Afternoon,MCH-11,OPR-016,Partial
PRD-000294,FP-001,2022-05-11,Line-D,30,Afternoon,MCH-14,OPR-047,Completed
PRD-000295,FP-008,2023-02-02,Line-A,9,Afternoon,MCH-11,OPR-002,Scrapped
PRD-000296,FP-005,2022-03-02,Line-C,2,Afternoon,MCH-06,OPR-019,Completed
PRD-000297,FP-004,2022-01-23,Line-A,25,Night,MCH-10,OPR-002,Scrapped
PRD-000298,FP-007,2024-08-31,Line-B,18,Afternoon,MCH-15,OPR-011,Partial
