component_id,production_id,part_id,qty_consumed
CMP-0000068,PRD-000015,P0115,6
CMP-0000069,PRD-000015,P0040,6
CMP-0000070,PRD-000016,P0216,7
CMP-0000071,PRD-000016,P0103,7
CMP-0000072,PRD-000016,P0098,14
CMP-0000073,PRD-000016,P0198,21
CMP-0000074,PRD-000016,P0177,21
CMP-0000075,PRD-000016,P0205,21
CMP-0000076,PRD-000017,P0118,120
CMP-0000077,PRD-000017,P0004,60
CMP-0000078,PRD-000017,P0042,120
CMP-0000079,PRD-000017,P0009,30
CMP-0000080,PRD-000017,P0113,120
CMP-0000081,PRD-000018,P0106,27
CMP-0000082,PRD-000018,P0111,36
CMP-0000083,PRD-000018,P0010,27
CMP-0000084,PRD-000019,P0305,72
CMP-0000085,PRD-000019,P0228,72
CMP-0000086,PRD-000019,P0133,18
CMP-0000087,PRD-000020,P0152,25
CMP-0000088,PRD-000020,P0199,25
CMP-0000089,PRD-000020,P0178,75
CMP-0000090,PRD-000020,P0163,25
CMP-0000091,PRD-000021,P0152,88
CMP-0000092,PRD-000021,P0156,44
CMP-0000093,PRD-000021,P0181,44
CMP-0000094,PRD-000021,P0158,88
CMP-0000095,PRD-000021,P0184,44
CMP-0000096,PRD-000022,P0099,28
CMP-0000097,PRD-000022,P0088,56
CMP-0000098,PRD-000022,P0137,14
CMP-0000099,PRD-000022,P0110,28
CMP-0000100,PRD-000022,P0075,42
CMP-0000101,PRD-000023,P0054,16
CMP-0000102,PRD-000023,P0099,64
CMP-0000103,PRD-000023,P0126,48
CMP-0000104,PRD-000023,P0121,48
CMP-0000105,PRD-000023,P0175,16
CMP-0000106,PRD-000023,P0069,32
CMP-0000107,PRD-000024,P0130,27
CMP-0000108,PRD-000024,P0221,36
CMP-0000109,PRD-000024,P0207,9
CMP-0000110,PRD-000024,P0113,27
CMP-0000111,PRD-000024,P0185,36
CMP-0000112,PRD-000025,P0111,26
CMP-0000113,PRD-000025,P0026,104
CMP-0000114,PRD-000025,P0244,26
CMP-0000115,PRD-000025,P0017,78
CMP-0000116,PRD-000025,P0112,52
CMP-0000117,PRD-000025,P0020,78
CMP-0000118,PRD-000026,P0212,16
CMP-0000119,PRD-000026,P0155,32
CMP-0000120,PRD-000026,P0134,32
CMP-0000121,PRD-000026,P0214,16
CMP-0000122,PRD-000027,P0221,60
CMP-0000123,PRD-000027,P0097,80
CMP-0000124,PRD-000027,P0109,40
CMP-0000125,PRD-000027,P0103,40
CMP-0000126,PRD-000027,P0120,80
CMP-0000127,PRD-000028,P0185,8
CMP-0000128,PRD-000028,P0222,24
CMP-0000129,PRD-000028,P0184,8
CMP-0000130,PRD-000028,P0178,24
CMP-0000131,PRD-000028,P0190,24
CMP-0000132,PRD-000028,P0176,16
CMP-0000133,PRD-000029,P0241,27
CMP-0000134,PRD-000029,P0211,27
CMP-0000135,PRD-000029,P0188,27
CMP-0000136,PRD-000029,P0121,27
CMP-0000137,PRD-000030,P0240,112
CMP-0000138,PRD-000030,P0249,84
CMP-0000139,PRD-000030,P0203,28
CMP-0000140,PRD-000031,P0045,33
CMP-0000141,PRD-000031,P0044,22
CMP-0000142,PRD-000031,P0127,22
CMP-0000143,PRD-000031,P0231,44
CMP-0000144,PRD-000031,P0121,11
CMP-0000145,PRD-000031,P0037,44
CMP-0000146,PRD-000032,P0294,16
CMP-0000147,PRD-000032,P0104,8
CMP-0000148,PRD-000032,P0296,16
CMP-0000149,PRD-000032,P0036,16
CMP-0000150,PRD-000033,P0231,30
CMP-0000151,PRD-000033,P0108,30
CMP-0000152,PRD-000033,P0248,30
CMP-0000153,PRD-000033,P0249,10
CMP-0000154,PRD-000033,P0113,10
CMP-0000155,PRD-000033,P0099,10
CMP-0000156,PRD-000034,P0098,6
CMP-0000157,PRD-000034,P0204,2
CMP-0000158,PRD-000034,P0094,4
CMP-0000159,PRD-000034,P0194,8
CMP-0000160,PRD-000035,P0113,36
CMP-0000161,PRD-000035,P0220,18
CMP-0000162,PRD-000035,P0189,18
CMP-0000163,PRD-000036,P0123,12
CMP-0000164,PRD-000036,P0230,12
CMP-0000165,PRD-000036,P0217,12
CMP-0000166,PRD-000036,P0127,48
CMP-0000167,PRD-000036,P0004,48
CMP-0000168,PRD-000037,P0235,11
CMP-0000169,PRD-000037,P0103,22
CMP-0000170,PRD-000037,P0016,44
CMP-0000171,PRD-000037,P0133,22
CMP-0000172,PRD-000037,P0001,44
CMP-0000173,PRD-000037,P0049,44
CMP-0000174,PRD-000038,P0124,26
CMP-0000175,PRD-000038,P0233,39
CMP-0000176,PRD-000038,P0202,52
CMP-0000177,PRD-000038,P0232,26
CMP-0000178,PRD-000038,P0236,13
CMP-0000179,PRD-000038,P0249,52
CMP-0000180,PRD-000039,P0188,42
CMP-0000181,PRD-000039,P0183,14
CMP-0000182,PRD-000039,P0120,42
CMP-0000183,PRD-000039,P0115,14
CMP-0000184,PRD-000039,P0213,56
CMP-0000185,PRD-000039,P0205,56
CMP-0000186,PRD-000040,P0037,26
CMP-0000187,PRD-000040,P0127,52
CMP-0000188,PRD-000040,P0236,13
CMP-0000189,PRD-000040,P0239,26
CMP-0000190,PRD-000041,P0205,75
CMP-0000191,PRD-000041,P0098,100
CMP-0000192,PRD-000041,P0100,25
CMP-0000193,PRD-000041,P0120,25
CMP-0000194,PRD-000042,P0240,15
CMP-0000195,PRD-000042,P0128,20
CMP-0000196,PRD-000042,P0107,15
CMP-0000197,PRD-000042,P0235,10
CMP-0000198,PRD-000042,P0118,10
CMP-0000199,PRD-000043,P0208,6
CMP-0000200,PRD-000043,P0198,4
CMP-0000201,PRD-000043,P0086,4
CMP-0000202,PRD-000043,P0077,6
CMP-0000203,PRD-000043,P0193,6
CMP-0000204,PRD-000043,P0084,8
CMP-0000205,PRD-000044,P0090,72
CMP-0000206,PRD-000044,P0178,96
CMP-0000207,PRD-000044,P0188,48
CMP-0000208,PRD-000045,P0101,17
CMP-0000209,PRD-000045,P0122,68
CMP-0000210,PRD-000045,P0090,17
CMP-0000211,PRD-000045,P0119,34
CMP-0000212,PRD-000046,P0120,120
CMP-0000213,PRD-000046,P0024,120
CMP-0000214,PRD-000046,P0130,60
CMP-0000215,PRD-000046,P0111,60
CMP-0000216,PRD-000047,P0156,8
CMP-0000217,PRD-000047,P0171,24
CMP-0000218,PRD-000047,P0153,32
CMP-0000219,PRD-000048,P0080,28
CMP-0000220,PRD-000048,P0065,28
CMP-0000221,PRD-000048,P0092,42
CMP-0000222,PRD-000048,P0131,42
CMP-0000223,PRD-000048,P0061,14
CMP-0000224,PRD-000048,P0066,42
CMP-0000225,PRD-000049,P0023,24
CMP-0000226,PRD-000049,P0031,6
CMP-0000227,PRD-000049,P0130,24
CMP-0000228,PRD-000049,P0011,24
CMP-0000229,PRD-000049,P0009,18
CMP-0000230,PRD-000049,P0020,18
CMP-0000231,PRD-000050,P0151,24
CMP-0000232,PRD-000050,P0153,12
CMP-0000233,PRD-000050,P0194,24
CMP-0000234,PRD-000050,P0143,12
CMP-0000235,PRD-000050,P0263,48
CMP-0000236,PRD-000050,P0209,48
CMP-0000237,PRD-000051,P0248,20
CMP-0000238,PRD-000051,P0019,10
CMP-0000239,PRD-000051,P0225,30
CMP-0000240,PRD-000051,P0231,30
CMP-0000241,PRD-000051,P0126,40
CMP-0000242,PRD-000052,P0295,27
CMP-0000243,PRD-000052,P0133,54
CMP-0000244,PRD-000052,P0033,81
CMP-0000245,PRD-000052,P0043,81
CMP-0000246,PRD-000052,P0111,54
CMP-0000247,PRD-000053,P0043,20
CMP-0000248,PRD-000053,P0020,5
CMP-0000249,PRD-000053,P0023,5
CMP-0000250,PRD-000054,P0225,19
CMP-0000251,PRD-000054,P0131,38
CMP-0000252,PRD-000054,P0233,76
CMP-0000253,PRD-000055,P0226,56
CMP-0000254,PRD-000055,P0221,42
CMP-0000255,PRD-000055,P0110,42
CMP-0000256,PRD-000055,P0025,14
CMP-0000257,PRD-000056,P0309,78
CMP-0000258,PRD-000056,P0292,52
CMP-0000259,PRD-000056,P0286,104
CMP-0000260,PRD-000056,P0289,26
CMP-0000261,PRD-000056,P0111,78
CMP-0000262,PRD-000056,P0113,52
CMP-0000263,PRD-000057,P0209,29
CMP-0000264,PRD-000057,P0238,29
CMP-0000265,PRD-000057,P0252,116
CMP-0000266,PRD-000058,P0032,3
CMP-0000267,PRD-000058,P0124,9
CMP-0000268,PRD-000058,P0287,6
CMP-0000269,PRD-000058,P0094,6
CMP-0000270,PRD-000058,P0007,6
CMP-0000271,PRD-000058,P0023,3
CMP-0000272,PRD-000059,P0264,48
CMP-0000273,PRD-000059,P0151,32
CMP-0000274,PRD-000059,P0256,16
CMP-0000275,PRD-000059,P0179,64
CMP-0000276,PRD-000059,P0140,48
CMP-0000277,PRD-000059,P0186,48
CMP-0000278,PRD-000060,P0202,25
CMP-0000279,PRD-000060,P0067,100
CMP-0000280,PRD-000060,P0213,50
CMP-0000281,PRD-000060,P0177,25
CMP-0000282,PRD-000060,P0180,25
CMP-0000283,PRD-000061,P0261,20
CMP-0000284,PRD-000061,P0205,5
CMP-0000285,PRD-000061,P0136,10
CMP-0000286,PRD-000061,P0188,15
CMP-0000287,PRD-000061,P0275,10
CMP-0000288,PRD-000061,P0211,20
CMP-0000289,PRD-000062,P0022,92
CMP-0000290,PRD-000062,P0251,46
CMP-0000291,PRD-000062,P0249,23
CMP-0000292,PRD-000062,P0244,69
CMP-0000293,PRD-000063,P0192,3
CMP-0000294,PRD-000063,P0055,6
CMP-0000295,PRD-000063,P0074,12
CMP-0000296,PRD-000063,P0269,3
CMP-0000297,PRD-000063,P0262,9
CMP-0000298,PRD-000063,P0187,9
CMP-0000299,PRD-000064,P0124,36
CMP-0000300,PRD-000064,P0099,36
CMP-0000301,PRD-000064,P0096,36
CMP-0000302,PRD-000065,P0084,64
CMP-0000303,PRD-000065,P0057,32
CMP-0000304,PRD-000065,P0160,32
CMP-0000305,PRD-000065,P0131,16
CMP-0000306,PRD-000066,P0103,4
CMP-0000307,PRD-000066,P0114,4
CMP-0000308,PRD-000066,P0109,6
CMP-0000309,PRD-000067,P0235,54
CMP-0000310,PRD-000067,P0135,72
CMP-0000311,PRD-000067,P0036,54
CMP-0000312,PRD-000067,P0116,18
CMP-0000313,PRD-000068,P0136,28
CMP-0000314,PRD-000068,P0148,56
CMP-0000315,PRD-000068,P0118,42
CMP-0000316,PRD-000068,P0205,28
CMP-0000317,PRD-000069,P0107,36
CMP-0000318,PRD-000069,P0198,9
CMP-0000319,PRD-000069,P0192,18
CMP-0000320,PRD-000069,P0176,18
CMP-0000321,PRD-000069,P0096,36
CMP-0000322,PRD-000069,P0125,18
CMP-0000323,PRD-000070,P0102,100
CMP-0000324,PRD-000070,P0199,75
CMP-0000325,PRD-000070,P0193,75
CMP-0000326,PRD-000070,P0176,75
CMP-0000327,PRD-000071,P0115,25
CMP-0000328,PRD-000071,P0158,50
CMP-0000329,PRD-000071,P0204,25
CMP-0000330,PRD-000072,P0085,48
CMP-0000331,PRD-000072,P0149,48
CMP-0000332,PRD-000072,P0079,12
CMP-0000333,PRD-000072,P0119,36
CMP-0000334,PRD-000072,P0112,48
CMP-0000335,PRD-000073,P0090,12
CMP-0000336,PRD-000073,P0190,24
CMP-0000337,PRD-000073,P0064,6
CMP-0000338,PRD-000073,P0072,18
CMP-0000339,PRD-000073,P0259,18
CMP-0000340,PRD-000074,P0041,9
CMP-0000341,PRD-000074,P0102,18
CMP-0000342,PRD-000074,P0037,36
CMP-0000343,PRD-000074,P0121,27
CMP-0000344,PRD-000075,P0128,36
CMP-0000345,PRD-000075,P0012,36
CMP-0000346,PRD-000075,P0103,54
CMP-0000347,PRD-000075,P0111,54
CMP-0000348,PRD-000075,P0033,54
CMP-0000349,PRD-000076,P0258,38
CMP-0000350,PRD-000076,P0088,19
CMP-0000351,PRD-000076,P0072,19
CMP-0000352,PRD-000076,P0057,19
CMP-0000353,PRD-000076,P0257,57
CMP-0000354,PRD-000076,P0062,57
CMP-0000355,PRD-000077,P0161,10
CMP-0000356,PRD-000077,P0178,30
CMP-0000357,PRD-000077,P0092,10
CMP-0000358,PRD-000078,P0132,24
CMP-0000359,PRD-000078,P0140,72
CMP-0000360,PRD-000078,P0103,48
CMP-0000361,PRD-000078,P0129,24
CMP-0000362,PRD-000078,P0106,48
CMP-0000363,PRD-000079,P0209,12
CMP-0000364,PRD-000079,P0192,6
CMP-0000365,PRD-000079,P0149,24
CMP-0000366,PRD-000079,P0127,6
CMP-0000367,PRD-000080,P0097,90
CMP-0000368,PRD-000080,P0096,90
CMP-0000369,PRD-000080,P0289,30
CMP-0000370,PRD-000081,P0125,40
CMP-0000371,PRD-000081,P0103,160
CMP-0000372,PRD-000081,P0136,120
CMP-0000373,PRD-000081,P0122,160
CMP-0000374,PRD-000081,P0131,40
CMP-0000375,PRD-000082,P0195,66
CMP-0000376,PRD-000082,P0160,22
CMP-0000377,PRD-000082,P0164,88
CMP-0000378,PRD-000082,P0278,22
CMP-0000379,PRD-000082,P0152,22
CMP-0000380,PRD-000083,P0280,3
CMP-0000381,PRD-000083,P0178,9
CMP-0000382,PRD-000083,P0265,3
CMP-0000383,PRD-000083,P0177,6
CMP-0000384,PRD-000083,P0196,12
CMP-0000385,PRD-000084,P0279,12
CMP-0000386,PRD-000084,P0057,24
CMP-0000387,PRD-000084,P0209,18
CMP-0000388,PRD-000084,P0184,12
CMP-0000389,PRD-000085,P0144,66
CMP-0000390,PRD-000085,P0078,66
CMP-0000391,PRD-000085,P0164,44
CMP-0000392,PRD-000085,P0079,22
CMP-0000393,PRD-000086,P0024,26
CMP-0000394,PRD-000086,P0100,39
CMP-0000395,PRD-000086,P0248,13
CMP-0000396,PRD-000087,P0237,20
CMP-0000397,PRD-000087,P0032,80
CMP-0000398,PRD-000087,P0129,20
CMP-0000399,PRD-000087,P0102,20
CMP-0000400,PRD-000088,P0134,44
CMP-0000401,PRD-000088,P0252,33
CMP-0000402,PRD-000088,P0210,33
CMP-0000403,PRD-000088,P0231,11
CMP-0000404,PRD-000089,P0187,18
CMP-0000405,PRD-000089,P0102,24
CMP-0000406,PRD-000089,P0152,12
CMP-0000407,PRD-000089,P0131,12
CMP-0000408,PRD-000089,P0129,6
CMP-0000409,PRD-000089,P0138,6
CMP-0000410,PRD-000090,P0131,36
CMP-0000411,PRD-000090,P0292,18
CMP-0000412,PRD-000090,P0233,36
CMP-0000413,PRD-000091,P0079,42
CMP-0000414,PRD-000091,P0085,84
CMP-0000415,PRD-000091,P0060,42
CMP-0000416,PRD-000091,P0127,21
CMP-0000417,PRD-000091,P0172,84
CMP-0000418,PRD-000092,P0038,69
CMP-0000419,PRD-000092,P0303,69
CMP-0000420,PRD-000092,P0285,69
CMP-0000421,PRD-000092,P0028,92
CMP-0000422,PRD-000092,P0286,69
CMP-0000423,PRD-000093,P0125,6
CMP-0000424,PRD-000093,P0129,6
CMP-0000425,PRD-000093,P0099,24
CMP-0000426,PRD-000094,P0168,72
CMP-0000427,PRD-000094,P0117,54
CMP-0000428,PRD-000094,P0155,54
CMP-0000429,PRD-000094,P0111,54
CMP-0000430,PRD-000095,P0156,9
CMP-0000431,PRD-000095,P0167,9
CMP-0000432,PRD-000095,P0087,18
CMP-0000433,PRD-000096,P0200,96
CMP-0000434,PRD-000096,P0144,24
CMP-0000435,PRD-000096,P0189,48
CMP-0000436,PRD-000096,P0164,48
CMP-0000437,PRD-000097,P0165,6
CMP-0000438,PRD-000097,P0187,4
CMP-0000439,PRD-000097,P0175,6
CMP-0000440,PRD-000098,P0229,8
CMP-0000441,PRD-000098,P0233,24
CMP-0000442,PRD-000098,P0046,24
CMP-0000443,PRD-000098,P0134,16
CMP-0000444,PRD-000098,P0102,16
CMP-0000445,PRD-000098,P0111,16
CMP-0000446,PRD-000099,P0027,66
CMP-0000447,PRD-000099,P0050,66
CMP-0000448,PRD-000099,P0123,66
CMP-0000449,PRD-000099,P0129,88
CMP-0000450,PRD-000100,P0015,9
CMP-0000451,PRD-000100,P0302,18
CMP-0000452,PRD-000100,P0014,18
CMP-0000453,PRD-000100,P0303,18
CMP-0000454,PRD-000100,P0117,36
CMP-0000455,PRD-000100,P0017,27
CMP-0000456,PRD-000101,P0213,50
CMP-0000457,PRD-000101,P0169,100
CMP-0000458,PRD-000101,P0202,100
CMP-0000459,PRD-000102,P0102,44
CMP-0000460,PRD-000102,P0286,44
CMP-0000461,PRD-000102,P0122,66
CMP-0000462,PRD-000102,P0245,66
CMP-0000463,PRD-000103,P0072,16
CMP-0000464,PRD-000103,P0191,12
CMP-0000465,PRD-000103,P0087,4
CMP-0000466,PRD-000104,P0044,15
CMP-0000467,PRD-000104,P0128,20
CMP-0000468,PRD-000104,P0031,10
CMP-0000469,PRD-000105,P0061,17
CMP-0000470,PRD-000105,P0134,51
CMP-0000471,PRD-000105,P0122,51
CMP-0000472,PRD-000106,P0128,28
CMP-0000473,PRD-000106,P0109,56
CMP-0000474,PRD-000106,P0063,28
CMP-0000475,PRD-000106,P0122,14
CMP-0000476,PRD-000106,P0079,56
CMP-0000477,PRD-000106,P0084,56
CMP-0000478,PRD-000107,P0265,24
CMP-0000479,PRD-000107,P0215,24
CMP-0000480,PRD-000107,P0259,18
CMP-0000481,PRD-000107,P0197,18
CMP-0000482,PRD-000108,P0211,148
CMP-0000483,PRD-000108,P0221,74
CMP-0000484,PRD-000108,P0123,37
CMP-0000485,PRD-000109,P0126,23
CMP-0000486,PRD-000109,P0029,92
CMP-0000487,PRD-000109,P0131,92
CMP-0000488,PRD-000109,P0048,23
CMP-0000489,PRD-000109,P0101,46
CMP-0000490,PRD-000110,P0267,44
CMP-0000491,PRD-000110,P0183,44
CMP-0000492,PRD-000110,P0143,88
CMP-0000493,PRD-000111,P0168,76
CMP-0000494,PRD-000111,P0208,38
CMP-0000495,PRD-000111,P0130,57
CMP-0000496,PRD-000111,P0104,76
CMP-0000497,PRD-000112,P0183,120
CMP-0000498,PRD-000112,P0196,30
CMP-0000499,PRD-000112,P0150,30
CMP-0000500,PRD-000112,P0191,90
CMP-0000501,PRD-000112,P0270,30
CMP-0000502,PRD-000112,P0154,60
CMP-0000503,PRD-000113,P0126,36
CMP-0000504,PRD-000113,P0225,9
CMP-0000505,PRD-000113,P0114,9
CMP-0000506,PRD-000113,P0236,36
CMP-0000507,PRD-000114,P0186,46
CMP-0000508,PRD-000114,P0237,69
CMP-0000509,PRD-000114,P0200,92
CMP-0000510,PRD-000114,P0230,23
CMP-0000511,PRD-000114,P0198,46
CMP-0000512,PRD-000114,P0105,46
CMP-0000513,PRD-000115,P0083,112
CMP-0000514,PRD-000115,P0068,84
CMP-0000515,PRD-000115,P0283,84
CMP-0000516,PRD-000115,P0077,28
CMP-0000517,PRD-000116,P0015,87
CMP-0000518,PRD-000116,P0111,58
CMP-0000519,PRD-000116,P0105,116
CMP-0000520,PRD-000116,P0302,58
CMP-0000521,PRD-000116,P0107,116
CMP-0000522,PRD-000117,P0014,22
CMP-0000523,PRD-000117,P0114,22
CMP-0000524,PRD-000117,P0100,44
CMP-0000525,PRD-000118,P0271,11
CMP-0000526,PRD-000118,P0265,22
CMP-0000527,PRD-000118,P0072,33
CMP-0000528,PRD-000118,P0209,22
CMP-0000529,PRD-000119,P0106,31
CMP-0000530,PRD-000119,P0158,93
CMP-0000531,PRD-000119,P0160,124
CMP-0000532,PRD-000119,P0163,124
CMP-0000533,PRD-000120,P0038,28
CMP-0000534,PRD-000120,P0292,28
CMP-0000535,PRD-000120,P0014,42
CMP-0000536,PRD-000121,P0097,30
CMP-0000537,PRD-000121,P0124,45
CMP-0000538,PRD-000121,P0177,15
CMP-0000539,PRD-000121,P0248,30
CMP-0000540,PRD-000122,P0311,20
CMP-0000541,PRD-000122,P0018,20
CMP-0000542,PRD-000122,P0039,10
CMP-0000543,PRD-000122,P0031,5
CMP-0000544,PRD-000123,P0027,90
CMP-0000545,PRD-000123,P0123,120
CMP-0000546,PRD-000123,P0052,120
CMP-0000547,PRD-000124,P0104,26
CMP-0000548,PRD-000124,P0226,26
CMP-0000549,PRD-000124,P0025,13
CMP-0000550,PRD-000124,P0046,26
CMP-0000551,PRD-000124,P0026,52
CMP-0000552,PRD-000125,P0188,3
CMP-0000553,PRD-000125,P0182,12
CMP-0000554,PRD-000125,P0084,12
CMP-0000555,PRD-000125,P0216,6
CMP-0000556,PRD-000125,P0205,12
CMP-0000557,PRD-000125,P0193,9
CMP-0000558,PRD-000126,P0213,26
CMP-0000559,PRD-000126,P0214,52
CMP-0000560,PRD-000126,P0189,39
CMP-0000561,PRD-000126,P0193,13
CMP-0000562,PRD-000127,P0165,26
CMP-0000563,PRD-000127,P0159,13
CMP-0000564,PRD-000127,P0061,39
CMP-0000565,PRD-000127,P0082,52
CMP-0000566,PRD-000127,P0069,39
CMP-0000567,PRD-000127,P0057,13
CMP-0000568,PRD-000128,P0001,62
CMP-0000569,PRD-000128,P0235,31
CMP-0000570,PRD-000128,P0244,124
CMP-0000571,PRD-000128,P0029,124
CMP-0000572,PRD-000128,P0114,31
CMP-0000573,PRD-000128,P0104,31
CMP-0000574,PRD-000129,P0012,27
CMP-0000575,PRD-000129,P0046,81
CMP-0000576,PRD-000129,P0041,27
CMP-0000577,PRD-000129,P0135,27
CMP-0000578,PRD-000129,P0098,81
CMP-0000579,PRD-000129,P0310,81
CMP-0000580,PRD-000130,P0175,52
CMP-0000581,PRD-000130,P0213,104
CMP-0000582,PRD-000130,P0265,104
CMP-0000583,PRD-000130,P0145,52
CMP-0000584,PRD-000130,P0203,78
CMP-0000585,PRD-000130,P0137,52
CMP-0000586,PRD-000131,P0043,36
CMP-0000587,PRD-000131,P0218,18
CMP-0000588,PRD-000131,P0010,18
CMP-0000589,PRD-000131,P0030,27
CMP-0000590,PRD-000131,P0237,9
CMP-0000591,PRD-000132,P0135,32
CMP-0000592,PRD-000132,P0141,8
CMP-0000593,PRD-000132,P0102,8
CMP-0000594,PRD-000132,P0175,16
CMP-0000595,PRD-000132,P0165,8
CMP-0000596,PRD-000133,P0149,88
CMP-0000597,PRD-000133,P0171,44
CMP-0000598,PRD-000133,P0275,44
CMP-0000599,PRD-000134,P0206,12
CMP-0000600,PRD-000134,P0117,4
CMP-0000601,PRD-000134,P0212,16
CMP-0000602,PRD-000134,P0123,16
CMP-0000603,PRD-000134,P0170,12
CMP-0000604,PRD-000134,P0110,12
CMP-0000605,PRD-000135,P0102,87
CMP-0000606,PRD-000135,P0041,87
CMP-0000607,PRD-000135,P0012,29
CMP-0000608,PRD-000135,P0049,87
CMP-0000609,PRD-000135,P0233,58
CMP-0000610,PRD-000136,P0124,12
CMP-0000611,PRD-000136,P0074,18
CMP-0000612,PRD-000136,P0113,24
CMP-0000613,PRD-000137,P0238,38
CMP-0000614,PRD-000137,P0028,76
CMP-0000615,PRD-000137,P0112,19
CMP-0000616,PRD-000137,P0309,38
CMP-0000617,PRD-000137,P0016,76
CMP-0000618,PRD-000137,P0023,76
CMP-0000619,PRD-000138,P0257,60
CMP-0000620,PRD-000138,P0214,60
CMP-0000621,PRD-000138,P0154,15
CMP-0000622,PRD-000138,P0282,60
CMP-0000623,PRD-000138,P0215,60
CMP-0000624,PRD-000138,P0281,30
CMP-0000625,PRD-000139,P0169,36
CMP-0000626,PRD-000139,P0177,36
CMP-0000627,PRD-000139,P0118,27
CMP-0000628,PRD-000139,P0186,9
CMP-0000629,PRD-000140,P0032,10
CMP-0000630,PRD-000140,P0016,40
CMP-0000631,PRD-000140,P0106,20
CMP-0000632,PRD-000140,P0036,30
CMP-0000633,PRD-000141,P0237,40
CMP-0000634,PRD-000141,P0128,40
CMP-0000635,PRD-000141,P0112,20
CMP-0000636,PRD-000141,P0023,20
CMP-0000637,PRD-000141,P0230,80
CMP-0000638,PRD-000141,P0029,80
CMP-0000639,PRD-000142,P0110,48
CMP-0000640,PRD-000142,P0107,72
CMP-0000641,PRD-000142,P0002,72
CMP-0000642,PRD-000142,P0014,24
CMP-0000643,PRD-000142,P0099,72
CMP-0000644,PRD-000142,P0108,48
CMP-0000645,PRD-000143,P0203,42
CMP-0000646,PRD-000143,P0185,14
CMP-0000647,PRD-000143,P0090,42
CMP-0000648,PRD-000143,P0276,56
CMP-0000649,PRD-000143,P0261,14
CMP-0000650,PRD-000143,P0192,14
CMP-0000651,PRD-000144,P0254,15
CMP-0000652,PRD-000144,P0194,10
CMP-0000653,PRD-000144,P0164,15
CMP-0000654,PRD-000145,P0099,18
CMP-0000655,PRD-000145,P0108,36
CMP-0000656,PRD-000145,P0034,36
CMP-0000657,PRD-000145,P0132,18
CMP-0000658,PRD-000146,P0198,75
CMP-0000659,PRD-000146,P0176,50
CMP-0000660,PRD-000146,P0193,75
CMP-0000661,PRD-000146,P0206,100
CMP-0000662,PRD-000147,P0038,58
CMP-0000663,PRD-000147,P0010,29
CMP-0000664,PRD-000147,P0222,87
