snapshot_date,part_id,warehouse,stock_level,reorder_point,unit_cost,inventory_value,below_reorder
2022-01-01,P0067,WH-FortWorth-TX,54,55,564.73,30495.42,True
2022-01-01,P0273,WH-FortWorth-TX,535,170,258.39,138238.65,False
2022-01-01,P0283,WH-FortWorth-TX,220,103,825.52,181614.4,False
2022-01-01,P0038,WH-FortWorth-TX,118,84,481.99,56874.82,False
2022-01-01,P0291,WH-Chicago-IL,319,192,369.69,117931.11,False
2022-01-01,P0202,WH-Chicago-IL,216,153,639.29,138086.64,False
2022-01-01,P0160,WH-Chicago-IL,224,60,121.78,27278.72,False
2022-01-01,P0039,WH-FortWorth-TX,344,109,660.99,227380.56,False
2022-01-01,P0096,WH-FortWorth-TX,575,201,651.7,374727.5,False
2022-01-01,P0002,WH-Chicago-IL,567,169,666.78,378064.26,False
2022-01-01,P0030,WH-Chicago-IL,216,57,689.34,148897.44,False
2022-01-01,P0001,WH-FortWorth-TX,285,92,113.53,32356.05,False
2022-01-01,P0100,WH-FortWorth-TX,352,127,127.65,44932.8,False
2022-01-01,P0111,WH-Seattle-WA,92,57,679.6,62523.2,False
2022-01-01,P0280,WH-Chicago-IL,214,54,751.12,160739.68,False
2022-01-01,P0292,WH-FortWorth-TX,427,146,484.48,206872.96,False
2022-01-01,P0021,WH-Chicago-IL,348,173,249.42,86798.16,False
2022-01-01,P0208,WH-Chicago-IL,216,146,503.45,108745.2,False
2022-01-01,P0024,WH-Erie-PA,16,69,683.87,10941.92,True
2022-01-01,P0272,WH-Seattle-WA,2,67,810.85,1621.7,True
2022-01-01,P0244,WH-FortWorth-TX,512,246,611.85,313267.2,False
2022-01-01,P0171,WH-Erie-PA,312,182,508.89,158773.68,False
2022-01-01,P0090,WH-Erie-PA,333,245,582.71,194042.43,False
2022-01-01,P0113,WH-Chicago-IL,184,146,235.54,43339.36,False
2022-01-01,P0117,WH-Erie-PA,371,100,680.32,252398.72,False
2022-01-01,P0060,WH-Seattle-WA,50,247,65.34,3267.0,True
2022-01-01,P0157,WH-Erie-PA,755,199,372.89,281531.95,False
2022-01-01,P0069,WH-FortWorth-TX,415,142,231.19,95943.85,False
2022-01-01,P0295,WH-Chicago-IL,461,199,611.46,281883.06,False
2022-01-01,P0028,WH-Chicago-IL,191,141,582.25,111209.75,False
2022-01-01,P0260,WH-Chicago-IL,213,62,711.31,151509.03,False
2022-01-01,P0058,WH-Erie-PA,376,110,666.13,250464.88,False
2022-01-01,P0145,WH-Erie-PA,404,122,448.83,181327.32,False
2022-01-01,P0207,WH-Seattle-WA,498,153,780.76,388818.48,False
2022-01-01,P0199,WH-Erie-PA,582,171,155.16,90303.12,False
2022-01-01,P0167,WH-Erie-PA,80,77,430.42,34433.6,False
2022-01-01,P0151,WH-FortWorth-TX,191,113,312.71,59727.61,False
2022-01-01,P0268,WH-FortWorth-TX,146,86,540.39,78896.94,False
2022-01-01,P0045,WH-Chicago-IL,90,176,132.1,11889.0,True
2022-01-08,P0305,WH-Seattle-WA,78,136,522.46,40751.88,True
2022-01-08,P0263,WH-Chicago-IL,47,63,774.69,36410.43,True
2022-01-08,P0300,WH-Seattle-WA,151,104,694.1,104809.1,False
2022-01-08,P0266,WH-Seattle-WA,144,219,169.21,24366.24,True
2022-01-08,P0173,WH-Seattle-WA,144,175,535.84,77160.96,True
2022-01-08,P0236,WH-Chicago-IL,492,198,614.82,302491.44,False
2022-01-08,P0184,WH-Chicago-IL,568,156,849.27,482385.36,False
2022-01-08,P0193,WH-Chicago-IL,126,112,417.52,52607.52,False
2022-01-08,P0065,WH-Erie-PA,0,201,226.24,0.0,True
2022-01-08,P0306,WH-Seattle-WA,89,73,373.45,33237.05,False
2022-01-08,P0075,WH-Erie-PA,26,43,237.24,6168.24,True
2022-01-08,P0247,WH-Erie-PA,343,125,352.21,120808.03,False
2022-01-08,P0072,WH-Seattle-WA,3,59,845.95,2537.85,True
2022-01-08,P0063,WH-Erie-PA,533,179,563.15,300158.95,False
2022-01-08,P0036,WH-Seattle-WA,788,224,445.1,350738.8,False
2022-01-08,P0119,WH-FortWorth-TX,469,168,222.53,104366.57,False
2022-01-08,P0033,WH-Erie-PA,45,34,15.51,697.95,False
2022-01-08,P0134,WH-Seattle-WA,51,40,75.73,3862.23,False
2022-01-08,P0156,WH-FortWorth-TX,143,53,449.38,64261.34,False
2022-01-08,P0270,WH-Erie-PA,166,45,420.37,69781.42,False
2022-01-08,P0023,WH-Erie-PA,389,160,209.1,81339.9,False
2022-01-08,P0138,WH-Seattle-WA,112,71,650.75,72884.0,False
2022-01-08,P0086,WH-FortWorth-TX,73,39,635.63,46400.99,False
2022-01-08,P0206,WH-Seattle-WA,652,178,657.56,428729.12,False
2022-01-08,P0141,WH-Seattle-WA,358,92,539.01,192965.58,False
2022-01-08,P0286,WH-Chicago-IL,276,87,116.67,32200.92,False
2022-01-08,P0040,WH-FortWorth-TX,411,145,345.48,141992.28,False
2022-01-08,P0155,WH-Erie-PA,139,151,506.33,70379.87,True
2022-01-08,P0068,WH-FortWorth-TX,443,119,203.64,90212.52,False
2022-01-08,P0051,WH-Chicago-IL,8,49,261.51,2092.08,True
2022-01-08,P0055,WH-Seattle-WA,178,97,350.39,62369.42,False
2022-01-08,P0128,WH-Seattle-WA,73,36,127.95,9340.35,False
2022-01-08,P0140,WH-Seattle-WA,516,213,862.98,445297.68,False
2022-01-08,P0257,WH-Chicago-IL,1,195,883.12,883.12,True
2022-01-08,P0116,WH-Seattle-WA,182,70,750.05,136509.1,False
2022-01-08,P0121,WH-FortWorth-TX,449,168,71.84,32256.16,False
2022-01-08,P0308,WH-FortWorth-TX,191,132,108.69,20759.79,False
2022-01-08,P0142,WH-Seattle-WA,309,183,698.65,215882.85,False
2022-01-08,P0197,WH-Chicago-IL,513,142,501.06,257043.78,False
2022-01-08,P0050,WH-Chicago-IL,93,65,184.56,17164.08,False
2022-01-08,P0037,WH-Erie-PA,525,170,126.3,66307.5,False
2022-01-08,P0067,WH-Erie-PA,13,55,564.73,7341.49,True
2022-01-08,P0273,WH-Erie-PA,641,170,258.39,165627.99,False
2022-01-08,P0283,WH-Erie-PA,174,103,825.52,143640.48,False
2022-01-08,P0038,WH-Erie-PA,286,84,481.99,137849.14,False
2022-01-08,P0291,WH-FortWorth-TX,176,192,369.69,65065.44,True
2022-01-08,P0202,WH-Seattle-WA,409,153,639.29,261469.61,False
2022-01-08,P0160,WH-Erie-PA,188,60,121.78,22894.64,False
2022-01-08,P0039,WH-Chicago-IL,160,109,660.99,105758.4,False
2022-01-08,P0096,WH-Erie-PA,42,201,651.7,27371.4,True
2022-01-08,P0002,WH-Seattle-WA,501,169,666.78,334056.78,False
2022-01-08,P0030,WH-Erie-PA,217,57,689.34,149586.78,False
2022-01-08,P0001,WH-FortWorth-TX,52,92,113.53,5903.56,True
2022-01-08,P0100,WH-Erie-PA,345,127,127.65,44039.25,False
2022-01-08,P0111,WH-Chicago-IL,38,57,679.6,25824.8,True
2022-01-08,P0280,WH-Seattle-WA,127,54,751.12,95392.24,False
2022-01-08,P0292,WH-FortWorth-TX,381,146,484.48,184586.88,False
2022-01-08,P0021,WH-FortWorth-TX,558,173,249.42,139176.36,False
2022-01-08,P0208,WH-Chicago-IL,504,146,503.45,253738.8,False
2022-01-08,P0024,WH-FortWorth-TX,275,69,683.87,188064.25,False
2022-01-08,P0272,WH-Seattle-WA,248,67,810.85,201090.8,False
2022-01-08,P0244,WH-FortWorth-TX,11,246,611.85,6730.35,True
2022-01-08,P0171,WH-Chicago-IL,180,182,508.89,91600.2,True
2022-01-08,P0090,WH-Chicago-IL,27,245,582.71,15733.17,True
2022-01-08,P0113,WH-FortWorth-TX,540,146,235.54,127191.6,False
2022-01-08,P0117,WH-Erie-PA,85,100,680.32,57827.2,True
2022-01-08,P0060,WH-FortWorth-TX,333,247,65.34,21758.22,False
2022-01-08,P0157,WH-Chicago-IL,515,199,372.89,192038.35,False
2022-01-08,P0069,WH-Chicago-IL,331,142,231.19,76523.89,False
2022-01-08,P0295,WH-Seattle-WA,360,199,611.46,220125.6,False
2022-01-08,P0028,WH-Chicago-IL,391,141,582.25,227659.75,False
2022-01-08,P0260,WH-Erie-PA,206,62,711.31,146529.86,False
2022-01-08,P0058,WH-FortWorth-TX,409,110,666.13,272447.17,False
2022-01-08,P0145,WH-Erie-PA,4,122,448.83,1795.32,True
2022-01-08,P0207,WH-FortWorth-TX,426,153,780.76,332603.76,False
2022-01-08,P0199,WH-FortWorth-TX,216,171,155.16,33514.56,False
2022-01-08,P0167,WH-Seattle-WA,185,77,430.42,79627.7,False
2022-01-08,P0151,WH-Chicago-IL,96,113,312.71,30020.16,True
2022-01-08,P0268,WH-Erie-PA,169,86,540.39,91325.91,False
2022-01-08,P0045,WH-Seattle-WA,142,176,132.1,18758.2,True
2022-01-15,P0305,WH-Seattle-WA,120,136,522.46,62695.2,True
2022-01-15,P0263,WH-Chicago-IL,168,63,774.69,130147.92,False
2022-01-15,P0300,WH-Erie-PA,37,104,694.1,25681.7,True
2022-01-15,P0266,WH-Chicago-IL,480,219,169.21,81220.8,False
2022-01-15,P0173,WH-Erie-PA,379,175,535.84,203083.36,False
2022-01-15,P0236,WH-Chicago-IL,37,198,614.82,22748.34,True
2022-01-15,P0184,WH-Erie-PA,76,156,849.27,64544.52,True
2022-01-15,P0193,WH-Erie-PA,307,112,417.52,128178.64,False
2022-01-15,P0065,WH-Chicago-IL,658,201,226.24,148865.92,False
2022-01-15,P0306,WH-FortWorth-TX,258,73,373.45,96350.1,False
2022-01-15,P0075,WH-Chicago-IL,141,43,237.24,33450.84,False
2022-01-15,P0247,WH-Seattle-WA,354,125,352.21,124682.34,False
2022-01-15,P0072,WH-Chicago-IL,6,59,845.95,5075.7,True
2022-01-15,P0063,WH-Chicago-IL,700,179,563.15,394205.0,False
2022-01-15,P0036,WH-Erie-PA,168,224,445.1,74776.8,True
2022-01-15,P0119,WH-Erie-PA,468,168,222.53,104144.04,False
2022-01-15,P0033,WH-Erie-PA,86,34,15.51,1333.86,False
2022-01-15,P0134,WH-Chicago-IL,130,40,75.73,9844.9,False
2022-01-15,P0156,WH-Erie-PA,93,53,449.38,41792.34,False
2022-01-15,P0270,WH-Erie-PA,103,45,420.37,43298.11,False
2022-01-15,P0023,WH-FortWorth-TX,382,160,209.1,79876.2,False
2022-01-15,P0138,WH-Erie-PA,7,71,650.75,4555.25,True
2022-01-15,P0086,WH-FortWorth-TX,15,39,635.63,9534.45,True
2022-01-15,P0206,WH-Erie-PA,34,178,657.56,22357.04,True
2022-01-15,P0141,WH-Chicago-IL,159,92,539.01,85702.59,False
2022-01-15,P0286,WH-FortWorth-TX,94,87,116.67,10966.98,False
2022-01-15,P0040,WH-Chicago-IL,303,145,345.48,104680.44,False
2022-01-15,P0155,WH-Chicago-IL,82,151,506.33,41519.06,True
2022-01-15,P0068,WH-Chicago-IL,88,119,203.64,17920.32,True
2022-01-15,P0051,WH-Chicago-IL,183,49,261.51,47856.33,False
2022-01-15,P0055,WH-Chicago-IL,41,97,350.39,14365.99,True
2022-01-15,P0128,WH-Seattle-WA,58,36,127.95,7421.1,False
2022-01-15,P0140,WH-Seattle-WA,375,213,862.98,323617.5,False
2022-01-15,P0257,WH-FortWorth-TX,93,195,883.12,82130.16,True
2022-01-15,P0116,WH-Chicago-IL,213,70,750.05,159760.65,False
2022-01-15,P0121,WH-Seattle-WA,437,168,71.84,31394.08,False
2022-01-15,P0308,WH-Seattle-WA,398,132,108.69,43258.62,False
2022-01-15,P0142,WH-Seattle-WA,430,183,698.65,300419.5,False
2022-01-15,P0197,WH-Erie-PA,25,142,501.06,12526.5,True
2022-01-15,P0050,WH-Chicago-IL,184,65,184.56,33959.04,False
2022-01-15,P0037,WH-FortWorth-TX,397,170,126.3,50141.1,False
2022-01-15,P0067,WH-Chicago-IL,26,55,564.73,14682.98,True
2022-01-15,P0273,WH-Erie-PA,397,170,258.39,102580.83,False
2022-01-15,P0283,WH-Seattle-WA,139,103,825.52,114747.28,False
2022-01-15,P0038,WH-Seattle-WA,143,84,481.99,68924.57,False
2022-01-15,P0291,WH-Chicago-IL,758,192,369.69,280225.02,False
2022-01-15,P0202,WH-Seattle-WA,80,153,639.29,51143.2,True
2022-01-15,P0160,WH-Seattle-WA,20,60,121.78,2435.6,True
2022-01-15,P0039,WH-FortWorth-TX,245,109,660.99,161942.55,False
2022-01-15,P0096,WH-FortWorth-TX,390,201,651.7,254163.0,False
2022-01-15,P0002,WH-Seattle-WA,37,169,666.78,24670.86,True
2022-01-15,P0030,WH-Chicago-IL,183,57,689.34,126149.22,False
2022-01-15,P0001,WH-FortWorth-TX,39,92,113.53,4427.67,True
2022-01-15,P0100,WH-FortWorth-TX,439,127,127.65,56038.35,False
2022-01-15,P0111,WH-Chicago-IL,1,57,679.6,679.6,True
2022-01-15,P0280,WH-FortWorth-TX,161,54,751.12,120930.32,False
2022-01-15,P0292,WH-Seattle-WA,284,146,484.48,137592.32,False
2022-01-15,P0021,WH-Erie-PA,456,173,249.42,113735.52,False
2022-01-15,P0208,WH-Erie-PA,288,146,503.45,144993.6,False
2022-01-15,P0024,WH-Seattle-WA,46,69,683.87,31458.02,True
2022-01-15,P0272,WH-Seattle-WA,24,67,810.85,19460.4,True
2022-01-15,P0244,WH-FortWorth-TX,654,246,611.85,400149.9,False
2022-01-15,P0171,WH-Erie-PA,94,182,508.89,47835.66,True
2022-01-15,P0090,WH-Erie-PA,190,245,582.71,110714.9,True
2022-01-15,P0113,WH-Erie-PA,42,146,235.54,9892.68,True
2022-01-15,P0117,WH-Chicago-IL,157,100,680.32,106810.24,False
2022-01-15,P0060,WH-FortWorth-TX,687,247,65.34,44888.58,False
2022-01-15,P0157,WH-Seattle-WA,92,199,372.89,34305.88,True
2022-01-15,P0069,WH-FortWorth-TX,127,142,231.19,29361.13,True
2022-01-15,P0295,WH-Seattle-WA,490,199,611.46,299615.4,False
2022-01-15,P0028,WH-Chicago-IL,303,141,582.25,176421.75,False
2022-01-15,P0260,WH-Erie-PA,52,62,711.31,36988.12,True
2022-01-15,P0058,WH-Chicago-IL,2,110,666.13,1332.26,True
2022-01-15,P0145,WH-Erie-PA,70,122,448.83,31418.1,True
2022-01-15,P0207,WH-FortWorth-TX,152,153,780.76,118675.52,True
2022-01-15,P0199,WH-Seattle-WA,149,171,155.16,23118.84,True
2022-01-15,P0167,WH-Chicago-IL,183,77,430.42,78766.86,False
2022-01-15,P0151,WH-Erie-PA,377,113,312.71,117891.67,False
2022-01-15,P0268,WH-Seattle-WA,54,86,540.39,29181.06,True
2022-01-15,P0045,WH-FortWorth-TX,387,176,132.1,51122.7,False
2022-01-22,P0305,WH-Seattle-WA,82,136,522.46,42841.72,True
2022-01-22,P0263,WH-FortWorth-TX,63,63,774.69,48805.47,False
2022-01-22,P0300,WH-Erie-PA,368,104,694.1,255428.8,False
2022-01-22,P0266,WH-FortWorth-TX,198,219,169.21,33503.58,True
2022-01-22,P0173,WH-Seattle-WA,436,175,535.84,233626.24,False
2022-01-22,P0236,WH-Chicago-IL,125,198,614.82,76852.5,True
2022-01-22,P0184,WH-Chicago-IL,243,156,849.27,206372.61,False
2022-01-22,P0193,WH-Chicago-IL,368,112,417.52,153647.36,False
2022-01-22,P0065,WH-Erie-PA,142,201,226.24,32126.08,True
2022-01-22,P0306,WH-Seattle-WA,97,73,373.45,36224.65,False
2022-01-22,P0075,WH-Chicago-IL,40,43,237.24,9489.6,True
2022-01-22,P0247,WH-Erie-PA,163,125,352.21,57410.23,False
2022-01-22,P0072,WH-Chicago-IL,188,59,845.95,159038.6,False
2022-01-22,P0063,WH-Chicago-IL,690,179,563.15,388573.5,False
2022-01-22,P0036,WH-Chicago-IL,88,224,445.1,39168.8,True
2022-01-22,P0119,WH-Chicago-IL,185,168,222.53,41168.05,False
2022-01-22,P0033,WH-FortWorth-TX,34,34,15.51,527.34,False
2022-01-22,P0134,WH-FortWorth-TX,107,40,75.73,8103.11,False
2022-01-22,P0156,WH-FortWorth-TX,129,53,449.38,57970.02,False
2022-01-22,P0270,WH-Chicago-IL,12,45,420.37,5044.44,True
2022-01-22,P0023,WH-Seattle-WA,230,160,209.1,48093.0,False
2022-01-22,P0138,WH-FortWorth-TX,63,71,650.75,40997.25,True
2022-01-22,P0086,WH-FortWorth-TX,154,39,635.63,97887.02,False
2022-01-22,P0206,WH-Erie-PA,306,178,657.56,201213.36,False
2022-01-22,P0141,WH-Chicago-IL,138,92,539.01,74383.38,False
2022-01-22,P0286,WH-Chicago-IL,176,87,116.67,20533.92,False
2022-01-22,P0040,WH-Chicago-IL,59,145,345.48,20383.32,True
2022-01-22,P0155,WH-FortWorth-TX,89,151,506.33,45063.37,True
2022-01-22,P0068,WH-FortWorth-TX,307,119,203.64,62517.48,False
2022-01-22,P0051,WH-FortWorth-TX,165,49,261.51,43149.15,False
2022-01-22,P0055,WH-Erie-PA,289,97,350.39,101262.71,False
2022-01-22,P0128,WH-Erie-PA,2,36,127.95,255.9,True
2022-01-22,P0140,WH-Seattle-WA,670,213,862.98,578196.6,False
2022-01-22,P0257,WH-Chicago-IL,639,195,883.12,564313.68,False
2022-01-22,P0116,WH-FortWorth-TX,18,70,750.05,13500.9,True
2022-01-22,P0121,WH-Seattle-WA,91,168,71.84,6537.44,True
2022-01-22,P0308,WH-Chicago-IL,34,132,108.69,3695.46,True
2022-01-22,P0142,WH-Seattle-WA,516,183,698.65,360503.4,False
2022-01-22,P0197,WH-Seattle-WA,304,142,501.06,152322.24,False
2022-01-22,P0050,WH-Chicago-IL,205,65,184.56,37834.8,False
2022-01-22,P0037,WH-FortWorth-TX,476,170,126.3,60118.8,False
2022-01-22,P0067,WH-Chicago-IL,147,55,564.73,83015.31,False
2022-01-22,P0273,WH-Seattle-WA,144,170,258.39,37208.16,True
2022-01-22,P0283,WH-FortWorth-TX,276,103,825.52,227843.52,False
2022-01-22,P0038,WH-Erie-PA,294,84,481.99,141705.06,False
2022-01-22,P0291,WH-Erie-PA,0,192,369.69,0.0,True
2022-01-22,P0202,WH-Seattle-WA,535,153,639.29,342020.15,False
2022-01-22,P0160,WH-Erie-PA,163,60,121.78,19850.14,False
2022-01-22,P0039,WH-FortWorth-TX,222,109,660.99,146739.78,False
2022-01-22,P0096,WH-Chicago-IL,407,201,651.7,265241.9,False
2022-01-22,P0002,WH-FortWorth-TX,566,169,666.78,377397.48,False
2022-01-22,P0030,WH-Erie-PA,92,57,689.34,63419.28,False
2022-01-22,P0001,WH-FortWorth-TX,246,92,113.53,27928.38,False
2022-01-22,P0100,WH-Chicago-IL,321,127,127.65,40975.65,False
2022-01-22,P0111,WH-Chicago-IL,12,57,679.6,8155.2,True
2022-01-22,P0280,WH-Chicago-IL,210,54,751.12,157735.2,False
2022-01-22,P0292,WH-Erie-PA,480,146,484.48,232550.4,False
2022-01-22,P0021,WH-Seattle-WA,681,173,249.42,169855.02,False
2022-01-22,P0208,WH-Seattle-WA,71,146,503.45,35744.95,True
2022-01-22,P0024,WH-Erie-PA,235,69,683.87,160709.45,False
2022-01-22,P0272,WH-Chicago-IL,246,67,810.85,199469.1,False
2022-01-22,P0244,WH-Erie-PA,730,246,611.85,446650.5,False
2022-01-22,P0171,WH-FortWorth-TX,468,182,508.89,238160.52,False
2022-01-22,P0090,WH-Seattle-WA,9,245,582.71,5244.39,True
2022-01-22,P0113,WH-Erie-PA,35,146,235.54,8243.9,True
2022-01-22,P0117,WH-Erie-PA,74,100,680.32,50343.68,True
2022-01-22,P0060,WH-Erie-PA,822,247,65.34,53709.48,False
2022-01-22,P0157,WH-FortWorth-TX,64,199,372.89,23864.96,True
2022-01-22,P0069,WH-FortWorth-TX,2,142,231.19,462.38,True
2022-01-22,P0295,WH-Chicago-IL,547,199,611.46,334468.62,False
2022-01-22,P0028,WH-Seattle-WA,540,141,582.25,314415.0,False
2022-01-22,P0260,WH-Seattle-WA,71,62,711.31,50503.01,False
2022-01-22,P0058,WH-FortWorth-TX,31,110,666.13,20650.03,True
2022-01-22,P0145,WH-Chicago-IL,106,122,448.83,47575.98,True
2022-01-22,P0207,WH-Erie-PA,20,153,780.76,15615.2,True
2022-01-22,P0199,WH-Seattle-WA,169,171,155.16,26222.04,True
2022-01-22,P0167,WH-Seattle-WA,261,77,430.42,112339.62,False
2022-01-22,P0151,WH-FortWorth-TX,306,113,312.71,95689.26,False
2022-01-22,P0268,WH-Chicago-IL,327,86,540.39,176707.53,False
2022-01-22,P0045,WH-Seattle-WA,638,176,132.1,84279.8,False
2022-01-29,P0305,WH-Chicago-IL,192,136,522.46,100312.32,False
2022-01-29,P0263,WH-FortWorth-TX,100,63,774.69,77469.0,False
2022-01-29,P0300,WH-Erie-PA,261,104,694.1,181160.1,False
2022-01-29,P0266,WH-FortWorth-TX,550,219,169.21,93065.5,False
2022-01-29,P0173,WH-Seattle-WA,619,175,535.84,331684.96,False
2022-01-29,P0236,WH-FortWorth-TX,214,198,614.82,131571.48,False
2022-01-29,P0184,WH-FortWorth-TX,413,156,849.27,350748.51,False
2022-01-29,P0193,WH-FortWorth-TX,210,112,417.52,87679.2,False
2022-01-29,P0065,WH-Chicago-IL,97,201,226.24,21945.28,True
2022-01-29,P0306,WH-Chicago-IL,147,73,373.45,54897.15,False
2022-01-29,P0075,WH-FortWorth-TX,18,43,237.24,4270.32,True
2022-01-29,P0247,WH-Seattle-WA,13,125,352.21,4578.73,True
2022-01-29,P0072,WH-Seattle-WA,155,59,845.95,131122.25,False
2022-01-29,P0063,WH-Seattle-WA,384,179,563.15,216249.6,False
2022-01-29,P0036,WH-FortWorth-TX,369,224,445.1,164241.9,False
2022-01-29,P0119,WH-Seattle-WA,282,168,222.53,62753.46,False
2022-01-29,P0033,WH-Erie-PA,91,34,15.51,1411.41,False
2022-01-29,P0134,WH-FortWorth-TX,10,40,75.73,757.3,True
2022-01-29,P0156,WH-Erie-PA,199,53,449.38,89426.62,False
2022-01-29,P0270,WH-FortWorth-TX,42,45,420.37,17655.54,True
2022-01-29,P0023,WH-FortWorth-TX,24,160,209.1,5018.4,True
2022-01-29,P0138,WH-Chicago-IL,170,71,650.75,110627.5,False
2022-01-29,P0086,WH-Seattle-WA,135,39,635.63,85810.05,False
2022-01-29,P0206,WH-Seattle-WA,517,178,657.56,339958.52,False
2022-01-29,P0141,WH-Chicago-IL,358,92,539.01,192965.58,False
2022-01-29,P0286,WH-FortWorth-TX,12,87,116.67,1400.04,True
2022-01-29,P0040,WH-Chicago-IL,179,145,345.48,61840.92,False
2022-01-29,P0155,WH-Seattle-WA,300,151,506.33,151899.0,False
2022-01-29,P0068,WH-Seattle-WA,417,119,203.64,84917.88,False
2022-01-29,P0051,WH-Seattle-WA,40,49,261.51,10460.4,True
2022-01-29,P0055,WH-Seattle-WA,256,97,350.39,89699.84,False
2022-01-29,P0128,WH-FortWorth-TX,113,36,127.95,14458.35,False
2022-01-29,P0140,WH-Seattle-WA,53,213,862.98,45737.94,True
2022-01-29,P0257,WH-Seattle-WA,734,195,883.12,648210.08,False
2022-01-29,P0116,WH-FortWorth-TX,194,70,750.05,145509.7,False
2022-01-29,P0121,WH-Chicago-IL,509,168,71.84,36566.56,False
2022-01-29,P0308,WH-Chicago-IL,358,132,108.69,38911.02,False
2022-01-29,P0142,WH-Chicago-IL,373,183,698.65,260596.45,False
2022-01-29,P0197,WH-Chicago-IL,160,142,501.06,80169.6,False
2022-01-29,P0050,WH-Seattle-WA,245,65,184.56,45217.2,False
2022-01-29,P0037,WH-Chicago-IL,528,170,126.3,66686.4,False
2022-01-29,P0067,WH-Erie-PA,37,55,564.73,20895.01,True
2022-01-29,P0273,WH-Chicago-IL,167,170,258.39,43151.13,True
2022-01-29,P0283,WH-FortWorth-TX,246,103,825.52,203077.92,False
2022-01-29,P0038,WH-FortWorth-TX,46,84,481.99,22171.54,True
2022-01-29,P0291,WH-FortWorth-TX,414,192,369.69,153051.66,False
2022-01-29,P0202,WH-Chicago-IL,140,153,639.29,89500.6,True
2022-01-29,P0160,WH-Chicago-IL,157,60,121.78,19119.46,False
2022-01-29,P0039,WH-Erie-PA,307,109,660.99,202923.93,False
2022-01-29,P0096,WH-Erie-PA,287,201,651.7,187037.9,False
2022-01-29,P0002,WH-FortWorth-TX,309,169,666.78,206035.02,False
2022-01-29,P0030,WH-FortWorth-TX,105,57,689.34,72380.7,False
2022-01-29,P0001,WH-Seattle-WA,112,92,113.53,12715.36,False
2022-01-29,P0100,WH-Chicago-IL,238,127,127.65,30380.7,False
2022-01-29,P0111,WH-FortWorth-TX,49,57,679.6,33300.4,True
