order_id,part_id,supplier_id,order_date,qty_ordered,qty_received,unit_cost,total_order_value,status,priority,expected_delivery_days
ORD-000053,P0188,SUP-014,2023-04-29,402,16,50.61,20345.22,Backordered,Low,7
ORD-000054,P0190,SUP-014,2024-07-10,464,39,735.61,341323.04,In Transit,Low,7
ORD-000055,P0188,SUP-015,2024-12-20,331,142,50.61,16751.91,Cancelled,Standard,6
ORD-000056,P0096,SUP-019,2022-02-23,540,120,651.7,351918.0,Pending,Standard,27
ORD-000057,P0229,SUP-008,2023-06-18,302,251,580.46,175298.92,Cancelled,Standard,6
ORD-000058,P0038,SUP-018,2022-10-05,186,113,481.99,89650.14,Cancelled,Standard,28
ORD-000059,P0178,SUP-026,2023-10-17,76,69,637.14,48422.64,Backordered,Standard,12
ORD-000060,P0090,SUP-029,2022-11-19,380,114,582.71,221429.8,Backordered,Standard,9
ORD-000061,P0122,SUP-029,2022-10-12,515,515,70.11,36106.65,Delivered,Standard,20
ORD-000062,P0240,SUP-029,2024-01-26,574,574,192.7,110609.8,Delivered,Low,5
ORD-000063,P0159,SUP-015,2022-05-15,500,210,326.35,163175.0,Backordered,Urgent,29
ORD-000064,P0065,SUP-013,2022-06-01,85,59,226.24,-999.0,Pending,Low,14
ORD-000065,P0283,SUP-024,2022-09-20,196,33,825.52,161801.92,In Transit,Urgent,19
ORD-000066,P0064,SUP-020,2022-04-24,166,166,294.99,48968.34,Delivered,Standard,8
ORD-000067,P0116,SUP-014,2023-10-23,541,541,750.05,405777.05,Delivered,Standard,11
ORD-000068,P0283,SUP-011,2023-02-07,138,77,825.52,113921.76,Cancelled,Low,20
ORD-000069,P0258,SUP-024,2022-07-11,182,148,367.35,66857.7,Backordered,Standard,8
ORD-000070,P0289,SUP-002,2023-11-23,39,39,40.62,-999.0,Delivered,Standard,23
ORD-000071,P0108,SUP-028,2023-06-27,595,31,555.98,330808.1,Pending,Urgent,23
ORD-000072,P0155,SUP-019,2023-08-17,260,207,506.33,131645.8,In Transit,Standard,17
ORD-000073,P0031,SUP-007,2022-05-30,460,247,759.88,349544.8,Pending,Urgent,9
ORD-000074,P0311,SUP-006,2023-11-28,330,163,466.31,153882.3,In Transit,Standard,15
ORD-000075,P0190,SUP-020,2022-09-25,585,585,735.61,430331.85,Delivered,Standard,10
ORD-000076,P0063,SUP-011,2024-08-13,470,470,563.15,264680.5,Delivered,Standard,6
ORD-000077,P0149,SUP-015,2022-04-14,438,438,300.24,131505.12,Delivered,Standard,29
ORD-000078,P0296,SUP-027,2023-11-02,330,330,552.26,182245.8,Delivered,Standard,18
ORD-000079,P0240,SUP-019,2024-11-20,325,11,192.7,62627.5,Pending,Standard,15
ORD-000080,P0235,SUP-009,2024-11-01,230,90,724.71,166683.3,Backordered,Standard,4
ORD-000081,P0254,SUP-023,2023-07-31,491,491,671.91,329907.81,Delivered,Low,3
ORD-000082,P0221,SUP-006,2022-08-09,280,187,787.23,220424.4,Cancelled,Urgent,14
ORD-000083,P0206,SUP-002,2022-04-03,593,199,657.56,389933.08,Backordered,Standard,20
ORD-000084,P0038,SUP-015,2023-08-15,526,286,481.99,253526.74,Pending,Low,24
ORD-000085,P0066,SUP-005,2022-09-01,413,413,294.82,121760.66,Delivered,Standard,20
ORD-000086,P0074,SUP-008,2024-01-19,531,512,195.18,103640.58,Pending,Standard,4
ORD-000087,P0071,SUP-026,2022-03-21,351,242,21.92,7693.92,In Transit,Low,17
ORD-000088,P0311,SUP-020,2022-11-02,153,153,466.31,71345.43,Delivered,Low,13
ORD-000089,P0202,SUP-023,2022-11-29,316,172,639.29,202015.64,Backordered,Low,29
ORD-000090,P0273,SUP-019,2024-11-09,586,586,258.39,151416.54,Delivered,Urgent,29
ORD-000091,P0189,SUP-013,2022-02-04,122,74,406.37,49577.14,Pending,Standard,28
ORD-000092,P0306,SUP-019,2022-02-24,281,116,373.45,104939.45,Cancelled,Standard,21
ORD-000093,P0088,SUP-020,2024-09-10,399,399,718.88,286833.12,Delivered,Standard,4
ORD-000094,P0098,SUP-001,2022-08-14,461,461,765.49,352890.89,Delivered,Urgent,7
ORD-000095,P0105,SUP-016,2024-04-25,523,482,90.04,47090.92,In Transit,Standard,25
ORD-000096,P0266,SUP-008,2022-10-10,584,584,169.21,98818.64,Delivered,Urgent,19
ORD-000097,P0161,SUP-007,2024-02-11,480,175,625.79,300379.2,Backordered,Low,14
ORD-000098,P0248,SUP-008,2023-06-26,262,262,432.26,113252.12,Delivered,Low,12
ORD-000099,P0153,SUP-028,2023-04-06,305,106,542.6,165493.0,Cancelled,Urgent,13
ORD-000100,P0179,SUP-021,2024-09-09,290,290,249.13,72247.7,Delivered,Standard,21
ORD-000101,P0203,SUP-030,2024-02-17,363,74,502.87,182541.81,In Transit,Standard,4
ORD-000102,P0041,SUP-014,2023-08-13,462,131,213.86,98803.32,Cancelled,Urgent,9
ORD-000103,P0276,SUP-011,2023-02-18,585,278,594.42,347735.7,Cancelled,Standard,6
ORD-000104,P0125,SUP-002,2023-05-06,553,553,676.55,374132.15,Delivered,Standard,4
ORD-000105,P0212,SUP-013,2022-07-25,493,493,868.87,428352.91,Delivered,Standard,3
ORD-000106,P0209,SUP-024,2022-11-20,497,333,181.96,90434.12,Pending,Standard,27
ORD-000107,P0165,SUP-012,2023-08-12,70,11,877.25,61407.5,In Transit,Low,10
ORD-000108,P0020,SUP-007,2024-12-31,437,90,595.06,260041.22,In Transit,Standard,29
ORD-000109,P0254,SUP-007,2024-03-24,306,306,671.91,205604.46,Delivered,Standard,12
ORD-000110,P0172,SUP-012,2022-08-08,475,278,701.49,333207.75,Cancelled,Low,18
ORD-000111,P0259,SUP-018,2022-10-02,289,289,601.55,173847.95,Delivered,Standard,13
ORD-000112,P0235,SUP-024,2022-11-29,273,95,724.71,197845.83,Cancelled,Standard,26
ORD-000113,P0152,SUP-022,2023-11-22,207,207,202.73,41965.11,Delivered,Low,30
ORD-000114,P0219,SUP-020,2024-04-10,345,345,75.55,26064.75,Delivered,Urgent,24
ORD-000115,P0095,SUP-006,2022-07-15,498,498,400.91,199653.18,Delivered,Standard,3
ORD-000116,P0197,SUP-009,2023-06-19,467,136,501.06,233995.02,In Transit,Standard,12
ORD-000117,P0134,SUP-024,2022-01-24,378,120,75.73,28625.94,Cancelled,Standard,24
ORD-000118,P0239,SUP-012,2022-08-31,173,128,131.3,22714.9,Pending,Standard,25
ORD-000119,P0152,SUP-014,2022-08-29,236,236,202.73,47844.28,Delivered,Standard,18
ORD-000120,P0233,SUP-027,2022-11-10,392,359,22.17,8690.64,Pending,Low,18
ORD-000121,P0127,SUP-025,2023-03-24,93,57,616.04,57291.72,Backordered,Low,25
ORD-000122,P0040,SUP-022,2024-01-11,124,124,345.48,42839.52,Delivered,Low,19
ORD-000123,P0294,SUP-021,2023-02-19,163,163,90.19,14700.97,Delivered,Standard,30
ORD-000124,P0227,SUP-005,2024-12-01,220,149,605.15,133133.0,Cancelled,Urgent,5
ORD-000125,P0229,SUP-029,2024-11-11,66,16,580.46,38310.36,Pending,Low,16
ORD-000126,P0289,SUP-002,2024-07-24,582,315,40.62,23640.84,Pending,Standard,15
ORD-000127,P0002,SUP-027,2023-06-06,233,18,666.78,155359.74,Backordered,Standard,16
ORD-000128,P0033,SUP-021,2023-12-07,71,71,15.51,1101.21,Delivered,Urgent,4
ORD-000129,P0210,SUP-007,2023-08-11,148,107,53.63,7937.24,In Transit,Standard,15
ORD-000130,P0194,SUP-015,2024-07-07,92,84,372.69,34287.48,Cancelled,Low,7
ORD-000131,P0061,SUP-007,2023-12-14,560,541,541.61,303301.6,Pending,Standard,26
ORD-000132,P0002,SUP-028,2023-04-02,33,33,666.78,22003.74,Delivered,Urgent,24
ORD-000133,P0273,SUP-015,2024-05-18,245,245,258.39,63305.55,Delivered,Urgent,14
ORD-000134,P0142,SUP-008,2022-11-14,125,125,698.65,87331.25,Delivered,Urgent,22
ORD-000135,P0124,SUP-008,2022-02-02,78,78,849.33,66247.74,Delivered,Low,4
ORD-000136,P0307,SUP-025,2024-07-03,59,59,751.34,44329.06,Delivered,Standard,15
ORD-000137,P0120,SUP-021,2024-06-17,232,221,148.49,34449.68,In Transit,Standard,7
ORD-000138,P0149,SUP-009,2024-10-28,599,599,300.24,179843.76,Delivered,Low,22
ORD-000139,P0122,SUP-012,2023-10-19,156,133,70.11,10937.16,Cancelled,Standard,16
ORD-000140,P0141,SUP-002,2023-09-08,580,179,539.01,312625.8,Backordered,Urgent,20
ORD-000141,P0025,SUP-014,2024-10-12,400,268,715.99,286396.0,In Transit,Standard,25
ORD-000142,P0210,SUP-006,2024-05-02,317,94,53.63,17000.71,Pending,Low,18
ORD-000143,P0116,SUP-012,2023-05-09,157,118,750.05,117757.85,In Transit,Standard,20
ORD-000144,P0214,SUP-021,2024-04-25,552,552,419.38,231497.76,Delivered,Urgent,10
ORD-000145,P0105,SUP-013,2023-06-07,90,47,90.04,8103.6,Pending,Standard,20
ORD-000146,P0027,SUP-011,2023-01-26,396,309,652.84,258524.64,Cancelled,Low,4
ORD-000147,P0097,SUP-029,2022-05-30,582,582,396.7,230879.4,Delivered,Urgent,9
ORD-000148,P0156,SUP-001,2023-11-13,226,226,449.38,101559.88,Delivered,Standard,26
ORD-000149,P0125,SUP-026,2024-09-07,219,61,676.55,148164.45,Pending,Low,13
ORD-000150,P0195,SUP-018,2023-08-03,556,367,495.2,275331.2,Cancelled,Standard,11
ORD-000151,P0263,SUP-019,2024-01-07,487,487,774.69,377274.03,Delivered,Urgent,27
ORD-000152,P0105,SUP-014,2023-10-18,330,23,90.04,29713.2,Pending,Low,30
ORD-000153,P0075,SUP-001,2023-03-30,277,213,237.24,65715.48,Backordered,Standard,7
ORD-000154,P0169,SUP-009,2023-02-06,398,125,80.56,32062.88,Backordered,Urgent,20
ORD-000155,P0132,SUP-028,2023-11-23,510,328,680.53,347070.3,Cancelled,Urgent,17
ORD-000156,P0181,SUP-007,2022-12-11,153,139,146.86,22469.58,Cancelled,Urgent,8
ORD-000157,P0269,SUP-002,2022-05-01,86,85,658.61,56640.46,In Transit,Standard,27
ORD-000158,P0212,SUP-006,2022-01-14,246,246,868.87,213742.02,Delivered,Standard,3
ORD-000159,P0259,SUP-018,2023-03-24,392,392,601.55,235807.6,Delivered,Low,23
ORD-000160,P0250,SUP-001,2024-09-16,16,13,635.45,10167.2,Backordered,Standard,3
ORD-000161,P0141,SUP-021,2024-12-20,303,303,539.01,163320.03,Delivered,Low,29
ORD-000162,P0092,SUP-005,2024-05-31,108,19,866.84,93618.72,Backordered,Standard,9
ORD-000163,P0130,SUP-030,2024-12-14,372,372,782.16,290963.52,Delivered,Urgent,5
ORD-000164,P0208,SUP-018,2024-02-04,588,588,503.45,296028.6,Delivered,Standard,12
ORD-000165,P0017,SUP-003,2022-06-15,425,193,624.02,265208.5,Pending,Low,18
ORD-000166,P0005,SUP-026,2022-04-25,185,185,497.27,91994.95,Delivered,Urgent,30
ORD-000167,P0170,SUP-022,2024-06-07,107,5,732.86,78416.02,Backordered,Standard,9
ORD-000168,P0139,SUP-002,2024-08-31,86,35,527.14,45334.04,Cancelled,Low,21
ORD-000169,P0092,SUP-013,2022-03-09,26,26,866.84,22537.84,Delivered,Low,7
ORD-000170,P0040,SUP-012,2024-03-26,176,61,345.48,60804.48,Backordered,Low,29
ORD-000171,P0277,SUP-013,2024-03-07,403,378,414.63,167095.89,In Transit,Standard,28
ORD-000172,P0257,SUP-027,2022-06-10,364,364,883.12,321455.68,Delivered,Standard,16
ORD-000173,P0039,SUP-013,2023-04-21,416,167,660.99,274971.84,In Transit,Standard,23
ORD-000174,P0231,SUP-019,2023-07-14,243,243,224.93,54657.99,Delivered,Low,15
ORD-000175,P0096,SUP-025,2024-06-03,399,399,651.7,260028.3,Delivered,Low,12
ORD-000176,P0038,SUP-003,2023-05-20,284,284,481.99,-999.0,Delivered,Urgent,25
ORD-000177,P0200,SUP-013,2022-11-12,379,379,213.86,81052.94,Delivered,Standard,3
ORD-000178,P0228,SUP-014,2023-09-24,286,286,498.74,142639.64,Delivered,Standard,5
ORD-000179,P0221,SUP-018,2023-01-19,580,524,787.23,456593.4,Backordered,Urgent,6
ORD-000180,P0046,SUP-014,2022-02-23,577,577,230.05,132738.85,Delivered,Low,22
ORD-000181,P0198,SUP-001,2023-10-27,308,198,122.46,37717.68,Pending,Standard,26
ORD-000182,P0293,SUP-020,2023-05-13,183,97,342.5,62677.5,Cancelled,Standard,7
ORD-000183,P0155,SUP-011,2023-07-05,514,514,506.33,260253.62,Delivered,Standard,8
ORD-000184,P0142,SUP-016,2024-06-09,316,39,698.65,220773.4,Pending,Standard,11
ORD-000185,P0254,SUP-023,2023-05-21,210,27,671.91,141101.1,Pending,Standard,12
ORD-000186,P0203,SUP-013,2022-01-14,399,168,502.87,200645.13,In Transit,Urgent,13
ORD-000187,P0305,SUP-006,2024-05-31,317,317,522.46,165619.82,Delivered,Low,25
ORD-000188,P0246,SUP-013,2023-02-16,191,81,417.49,79740.59,Pending,Standard,26
ORD-000189,P0295,SUP-029,2024-10-02,258,258,611.46,157756.68,Delivered,Urgent,11
ORD-000190,P0187,SUP-005,2024-03-15,587,587,856.45,502736.15,Delivered,Low,20
ORD-000191,P0282,SUP-001,2023-01-04,482,107,607.96,293036.72,Cancelled,Urgent,28
ORD-000192,P0036,SUP-030,2023-08-20,428,255,445.1,190502.8,Cancelled,Standard,23
ORD-000193,P0124,SUP-011,2023-09-13,167,108,849.33,141838.11,Cancelled,Urgent,5
ORD-000194,P0307,SUP-019,2024-07-08,420,259,751.34,315562.8,Backordered,Urgent,20
ORD-000195,P0185,SUP-026,2022-03-17,559,87,544.26,304241.34,Backordered,Standard,27
ORD-000196,P0182,SUP-007,2023-05-24,55,41,161.84,8901.2,Backordered,Urgent,27
ORD-000197,P0221,SUP-005,2023-11-11,20,20,787.23,15744.6,Delivered,Standard,10
ORD-000198,P0266,SUP-021,2024-11-11,599,599,169.21,101356.79,Delivered,Urgent,14
ORD-000199,P0238,SUP-028,2024-03-12,522,522,288.41,150550.02,Delivered,Standard,3
ORD-000200,P0054,SUP-012,2024-09-15,435,435,374.68,162985.8,Delivered,Standard,29
ORD-000201,P0179,SUP-012,2022-10-18,361,105,249.13,89935.93,Pending,Low,18
ORD-000202,P0244,SUP-005,2023-12-15,458,356,611.85,280227.3,Cancelled,Urgent,13
ORD-000203,P0154,SUP-002,2022-05-18,127,127,854.04,108463.08,Delivered,Standard,23
ORD-000204,P0085,SUP-027,2022-08-12,259,89,779.7,201942.3,Backordered,Low,8
ORD-000205,P0287,SUP-016,2023-11-09,483,483,511.45,247030.35,Delivered,Urgent,23
ORD-000206,P0096,SUP-024,2023-01-13,452,14,651.7,294568.4,Pending,Low,9
ORD-000207,P0304,SUP-016,2024-07-09,408,408,31.59,12888.72,Delivered,Standard,9
ORD-000208,P0033,SUP-022,2023-07-25,114,111,15.51,1768.14,In Transit,Low,8
ORD-000209,P0167,SUP-008,2024-01-20,478,478,430.42,205740.76,Delivered,Standard,24
ORD-000210,P0271,SUP-024,2024-09-29,330,198,392.25,129442.5,Backordered,Low,15
ORD-000211,P0179,SUP-014,2022-08-22,478,88,249.13,119084.14,Backordered,Standard,22
ORD-000212,P0069,SUP-013,2022-06-23,130,130,231.19,30054.7,Delivered,Standard,6
ORD-000213,P0192,SUP-026,2023-01-10,154,99,628.9,96850.6,Backordered,Urgent,22
ORD-000214,P0295,SUP-015,2022-10-10,443,443,611.46,270876.78,Delivered,Urgent,23
ORD-000215,P0285,SUP-007,2022-12-21,511,511,213.46,109078.06,Delivered,Standard,8
ORD-000216,P0231,SUP-023,2023-10-07,64,45,224.93,14395.52,In Transit,Standard,18
ORD-000217,P0100,SUP-030,2022-10-07,403,258,127.65,51442.95,Backordered,Urgent,16
ORD-000218,P0213,SUP-026,2024-10-04,464,85,103.82,48172.48,Pending,Standard,21
ORD-000219,P0113,SUP-012,2022-03-05,43,43,235.54,10128.22,Delivered,Standard,20
ORD-000220,P0087,SUP-028,2023-08-15,478,380,191.62,91594.36,Backordered,Urgent,20
ORD-000221,P0058,SUP-022,2024-11-12,126,126,666.13,83932.38,Delivered,Low,29
ORD-000222,P0278,SUP-030,2024-01-22,52,46,660.71,34356.92,In Transit,Urgent,20
ORD-000223,P0218,SUP-005,2023-03-24,263,263,800.38,210499.94,Delivered,Standard,17
ORD-000224,P0179,SUP-030,2023-06-23,99,15,249.13,24663.87,Pending,Standard,9
ORD-000225,P0220,SUP-007,2023-12-20,152,52,94.99,14438.48,In Transit,Standard,28
ORD-000226,P0292,SUP-014,2022-05-02,555,555,484.48,268886.4,Delivered,Low,20
ORD-000227,P0166,SUP-026,2022-12-11,309,309,783.59,242129.31,Delivered,Low,11
ORD-000228,P0049,SUP-006,2024-11-19,431,431,371.32,160038.92,Delivered,Standard,30
ORD-000229,P0068,SUP-009,2022-09-17,159,82,203.64,32378.76,Cancelled,Standard,27
ORD-000230,P0251,SUP-006,2024-03-15,285,212,852.44,242945.4,Cancelled,Urgent,17
ORD-000231,P0048,SUP-015,2022-06-04,537,284,779.5,418591.5,Cancelled,Standard,17
ORD-000232,P0168,SUP-022,2024-09-26,12,12,847.84,10174.08,In Transit,Standard,26
ORD-000233,P0184,SUP-003,2024-07-27,557,223,849.27,473043.39,Pending,Urgent,29
ORD-000234,P0254,SUP-011,2023-03-10,340,145,671.91,228449.4,In Transit,Standard,20
ORD-000235,P0290,SUP-019,2022-09-25,361,24,315.74,113982.14,Cancelled,Standard,6
ORD-000236,P0009,SUP-005,2024-07-30,171,116,249.1,42596.1,Pending,Standard,16
ORD-000237,P0068,SUP-024,2023-02-19,319,319,203.64,64961.16,Delivered,Standard,5
ORD-000238,P0129,SUP-003,2024-01-09,390,332,514.49,200651.1,Cancelled,Standard,4
ORD-000239,P0157,SUP-027,2024-03-22,249,167,372.89,92849.61,Pending,Standard,25
ORD-000240,P0001,SUP-008,2022-07-14,498,498,113.53,56537.94,Delivered,Standard,21
ORD-000241,P0266,SUP-025,2023-04-09,465,465,169.21,78682.65,Delivered,Standard,25
ORD-000242,P0062,SUP-016,2023-12-05,145,18,848.31,123004.95,Pending,Standard,15
ORD-000243,P0053,SUP-005,2022-07-02,330,330,872.56,287944.8,Delivered,Standard,7
ORD-000244,P0069,SUP-024,2024-02-23,156,156,231.19,36065.64,Delivered,Low,21
ORD-000245,P0085,SUP-018,2022-01-18,369,109,779.7,287709.3,Cancelled,Standard,16
ORD-000246,P0112,SUP-003,2024-06-25,112,112,726.64,81383.68,Delivered,Standard,21
ORD-000247,P0180,SUP-016,2024-02-26,332,71,841.3,279311.6,In Transit,Standard,11
ORD-000248,P0128,SUP-021,2022-06-22,301,13,127.95,38512.95,In Transit,Standard,9
ORD-000249,P0311,SUP-020,2024-11-26,203,100,466.31,94660.93,Cancelled,Standard,23
ORD-000250,P0123,SUP-019,2022-04-22,405,405,773.21,313150.05,Delivered,Standard,18
ORD-000251,P0271,SUP-001,2022-05-26,379,379,392.25,148662.75,Delivered,Standard,15
ORD-000252,P0188,SUP-021,2024-05-11,186,120,50.61,9413.46,In Transit,Standard,3
ORD-000253,P0008,SUP-011,2022-05-19,230,230,97.08,22328.4,Delivered,Standard,28
ORD-000254,P0260,SUP-012,2024-03-26,523,425,711.31,372015.13,In Transit,Urgent,25
ORD-000255,P0043,SUP-024,2024-04-03,559,156,217.61,121643.99,Backordered,Standard,5
ORD-000256,P0041,SUP-020,2023-09-27,218,39,213.86,46621.48,In Transit,Low,13
ORD-000257,P0301,SUP-024,2024-03-11,77,77,455.19,35049.63,Delivered,Urgent,26
ORD-000258,P0030,SUP-009,2023-05-04,98,14,689.34,67555.32,Pending,Urgent,22
ORD-000259,P0159,SUP-025,2022-04-23,189,189,326.35,61680.15,Delivered,Standard,25
ORD-000260,P0006,SUP-007,2022-10-09,518,518,784.33,406282.94,Delivered,Low,19
ORD-000261,P0086,SUP-014,2023-06-15,139,68,635.63,88352.57,Cancelled,Standard,27
ORD-000262,P0172,SUP-029,2022-03-02,449,449,701.49,314969.01,Delivered,Low,5
ORD-000263,P0296,SUP-024,2023-06-23,88,58,552.26,48598.88,Pending,Low,14
ORD-000264,P0256,SUP-022,2022-04-24,180,180,342.92,61725.6,Delivered,Standard,11
ORD-000265,P0294,SUP-025,2022-07-30,128,128,90.19,11544.32,Delivered,Low,3
ORD-000266,P0007,SUP-009,2022-04-01,57,23,316.12,18018.84,Pending,Urgent,7
ORD-000267,P0019,SUP-021,2023-01-02,439,439,201.72,88555.08,Delivered,Standard,10
ORD-000268,P0164,SUP-011,2024-05-02,89,47,173.81,15469.09,Backordered,Standard,19
ORD-000269,P0092,SUP-009,2022-04-18,538,538,866.84,466359.92,Delivered,Urgent,5
ORD-000270,P0145,SUP-028,2024-08-10,328,328,448.83,147216.24,Delivered,Standard,20
ORD-000271,P0005,SUP-014,2024-07-24,215,215,497.27,106913.05,Delivered,Low,28
ORD-000272,P0125,SUP-018,2023-09-15,387,252,676.55,261824.85,Backordered,Standard,26
ORD-000273,P0078,SUP-001,2023-05-18,429,429,639.52,274354.08,Delivered,Standard,20
ORD-000274,P0005,SUP-013,2023-12-11,11,10,497.27,5469.97,In Transit,Urgent,30
ORD-000275,P0054,SUP-008,2023-09-22,552,552,374.68,206823.36,Delivered,Urgent,18
ORD-000276,P0073,SUP-026,2022-05-03,296,296,152.57,45160.72,Delivered,Standard,10
ORD-000277,P0212,SUP-026,2024-11-30,391,382,868.87,339728.17,Pending,Standard,21
ORD-000278,P0259,SUP-006,2022-07-15,413,413,601.55,248440.15,Delivered,Low,21
ORD-000279,P0223,SUP-025,2022-05-08,143,143,346.73,49582.39,Delivered,Standard,11
ORD-000280,P0202,SUP-026,2023-10-08,344,344,639.29,219915.76,Delivered,Urgent,11
ORD-000281,P0039,SUP-008,2023-04-24,149,149,660.99,98487.51,In Transit,Standard,7
ORD-000282,P0085,SUP-018,2022-08-05,487,487,779.7,379713.9,Delivered,Urgent,6
ORD-000283,P0107,SUP-018,2024-01-04,325,135,728.81,236863.25,Pending,Standard,5
ORD-000284,P0156,SUP-030,2022-11-19,51,51,449.38,22918.38,Delivered,Standard,7
ORD-000285,P0128,SUP-014,2022-07-06,415,25,127.95,53099.25,Backordered,Standard,11
ORD-000286,P0016,SUP-015,2022-12-23,473,383,660.28,312312.44,Backordered,Low,10
ORD-000287,P0237,SUP-005,2022-07-13,153,153,136.05,20815.65,Delivered,Standard,4
ORD-000288,P0067,SUP-008,2023-04-01,420,420,564.73,237186.6,Delivered,Standard,21
ORD-000289,P0039,SUP-001,2023-06-15,76,76,660.99,50235.24,Delivered,Urgent,28
