production_id,product_id,production_date,line_id,qty_produced,shift,machine_id,operator_id,status,year,month,month_name,quarter,day_of_week,week_number
PRD-000032,FP-007,2024-12-29,Line-C,8,Night,MCH-15,OPR-038,Completed,2024,12,Dec,4,Sunday,52
PRD-000033,FP-002,2024-11-01,Line-A,10,Night,MCH-15,OPR-001,Completed,2024,11,Nov,4,Friday,44
PRD-000034,FP-003,2022-03-29,Line-C,2,Afternoon,MCH-08,OPR-022,Completed,2022,3,Mar,1,Tuesday,13
PRD-000035,FP-006,2023-01-06,Line-A,9,Night,MCH-07,OPR-015,Completed,2023,1,Jan,1,Friday,1
PRD-000036,FP-009,2022-02-12,Line-D,12,Afternoon,MCH-06,OPR-050,Completed,2022,2,Feb,1,Saturday,6
PRD-000037,FP-009,2024-02-15,Line-B,11,Morning,MCH-14,OPR-032,Partial,2024,2,Feb,1,Thursday,7
PRD-000038,FP-006,2022-06-16,Line-A,13,Night,MCH-15,OPR-037,Completed,2022,6,Jun,2,Thursday,24
PRD-000039,FP-004,2022-08-30,Line-A,14,Night,MCH-01,OPR-016,Scrapped,2022,8,Aug,3,Tuesday,35
PRD-000040,FP-002,2022-08-15,Line-A,13,Night,MCH-10,OPR-019,Completed,2022,8,Aug,3,Monday,33
PRD-000041,FP-004,2023-02-08,Line-A,25,Night,MCH-08,OPR-011,Completed,2023,2,Feb,1,Wednesday,6
PRD-000042,FP-009,2022-11-28,Line-D,5,Night,MCH-07,OPR-043,Partial,2022,11,Nov,4,Monday,48
PRD-000043,FP-008,2024-08-25,Line-A,2,Afternoon,MCH-15,OPR-057,Completed,2024,8,Aug,3,Sunday,34
PRD-000044,FP-001,2023-09-13,Line-D,24,Morning,MCH-09,OPR-044,Completed,2023,9,Sep,3,Wednesday,37
PRD-000045,FP-010,2023-12-06,Line-B,17,Morning,MCH-01,OPR-010,Completed,2023,12,Dec,4,Wednesday,49
PRD-000046,FP-007,2023-08-19,Line-D,30,Afternoon,MCH-11,OPR-048,Partial,2023,8,Aug,3,Saturday,33
PRD-000047,FP-010,2024-03-29,Line-D,8,Afternoon,MCH-15,OPR-014,Completed,2024,3,Mar,1,Friday,13
PRD-000048,FP-010,2023-12-22,Line-C,14,Night,MCH-10,OPR-006,Completed,2023,12,Dec,4,Friday,51
PRD-000049,FP-007,2023-01-27,Line-C,6,Night,MCH-02,OPR-058,Partial,2023,1,Jan,1,Friday,4
PRD-000050,FP-005,2024-03-29,Line-D,12,Morning,MCH-07,OPR-023,Completed,2024,3,Mar,1,Friday,13
PRD-000051,FP-009,2023-06-05,Line-B,10,Morning,MCH-12,OPR-034,Completed,2023,6,Jun,2,Monday,23
PRD-000052,FP-007,2024-12-03,Line-A,27,Morning,MCH-07,OPR-043,Scrapped,2024,12,Dec,4,Tuesday,49
PRD-000053,FP-007,2023-11-16,Line-C,5,Morning,MCH-09,OPR-010,Partial,2023,11,Nov,4,Thursday,46
PRD-000054,FP-009,2024-03-26,Line-C,19,Morning,MCH-03,OPR-039,Completed,2024,3,Mar,1,Tuesday,13
PRD-000055,FP-009,2023-05-03,Line-A,14,Morning,MCH-15,OPR-023,Completed,2023,5,May,2,Wednesday,18
PRD-000056,FP-007,2022-04-18,Line-B,26,Night,MCH-06,OPR-026,Completed,2022,4,Apr,2,Monday,16
PRD-000057,FP-006,2023-07-20,Line-B,29,Afternoon,MCH-06,OPR-012,Scrapped,2023,7,Jul,3,Thursday,29
PRD-000058,FP-007,2022-05-14,Line-D,3,Night,MCH-15,OPR-002,Completed,2022,5,May,2,Saturday,19
PRD-000059,FP-005,2023-05-14,Line-D,16,Afternoon,MCH-13,OPR-003,Scrapped,2023,5,May,2,Sunday,19
PRD-000060,FP-001,2022-03-30,Line-A,25,Night,MCH-13,OPR-006,Partial,2022,3,Mar,1,Wednesday,13
PRD-000061,FP-005,2024-12-11,Line-B,5,Night,MCH-13,OPR-046,Completed,2024,12,Dec,4,Wednesday,50
PRD-000062,FP-002,2024-04-05,Line-C,23,Night,MCH-08,OPR-001,Completed,2024,4,Apr,2,Friday,14
PRD-000063,FP-008,2024-05-23,Line-B,3,Afternoon,MCH-13,OPR-043,Completed,2024,5,May,2,Thursday,21
PRD-000064,FP-007,2023-02-25,Line-B,9,Night,MCH-04,OPR-042,Completed,2023,2,Feb,1,Saturday,8
PRD-000065,FP-010,2024-06-15,Line-A,16,Night,MCH-10,OPR-048,Scrapped,2024,6,Jun,2,Saturday,24
PRD-000066,FP-002,2024-04-25,Line-C,2,Morning,MCH-06,OPR-021,Scrapped,2024,4,Apr,2,Thursday,17
PRD-000067,FP-009,2024-05-08,Line-B,18,Night,MCH-13,OPR-020,Completed,2024,5,May,2,Wednesday,19
PRD-000068,FP-003,2023-08-03,Line-D,14,Afternoon,MCH-08,OPR-048,Partial,2023,8,Aug,3,Thursday,31
PRD-000069,FP-004,2023-03-02,Line-D,9,Morning,MCH-07,OPR-039,Completed,2023,3,Mar,1,Thursday,9
PRD-000070,FP-004,2024-01-11,Line-C,25,Morning,MCH-12,OPR-015,Scrapped,2024,1,Jan,1,Thursday,2
PRD-000071,FP-003,2024-03-27,Line-D,25,Night,MCH-09,OPR-058,Completed,2024,3,Mar,1,Wednesday,13
PRD-000072,FP-010,2022-05-22,Line-C,12,Night,MCH-11,OPR-057,Partial,2022,5,May,2,Sunday,20
PRD-000073,FP-008,2023-12-18,Line-A,6,Morning,MCH-06,OPR-019,Scrapped,2023,12,Dec,4,Monday,51
PRD-000074,FP-007,2023-02-23,Line-C,9,Afternoon,MCH-12,OPR-037,Completed,2023,2,Feb,1,Thursday,8
PRD-000075,FP-009,2024-08-15,Line-D,18,Morning,MCH-03,OPR-043,Partial,2024,8,Aug,3,Thursday,33
PRD-000076,FP-008,2022-01-16,Line-D,19,Morning,MCH-05,OPR-019,Completed,2022,1,Jan,1,Sunday,2
PRD-000077,FP-001,2023-11-17,Line-C,10,Morning,MCH-14,OPR-056,Completed,2023,11,Nov,4,Friday,46
PRD-000078,FP-010,2024-12-12,Line-B,24,Night,MCH-05,OPR-005,Completed,2024,12,Dec,4,Thursday,50
PRD-000079,FP-003,2023-02-02,Line-C,6,Afternoon,MCH-04,OPR-060,Completed,2023,2,Feb,1,Thursday,5
PRD-000080,FP-007,2023-06-22,Line-A,30,Night,MCH-11,OPR-023,Partial,2023,6,Jun,2,Thursday,25
PRD-000081,FP-003,2024-10-15,Line-D,40,Night,MCH-01,OPR-039,Completed,2024,10,Oct,4,Tuesday,42
PRD-000082,FP-005,2022-11-02,Line-C,22,Night,MCH-02,OPR-057,Completed,2022,11,Nov,4,Wednesday,44
PRD-000083,FP-005,2023-05-30,Line-B,3,Morning,MCH-08,OPR-057,Completed,2023,5,May,2,Tuesday,22
PRD-000084,FP-008,2023-05-06,Line-B,6,Night,MCH-10,OPR-035,Completed,2023,5,May,2,Saturday,18
PRD-000085,FP-010,2023-11-19,Line-B,22,Morning,MCH-10,OPR-022,Completed,2023,11,Nov,4,Sunday,46
PRD-000086,FP-009,2023-07-07,Line-D,13,Morning,MCH-08,OPR-056,Completed,2023,7,Jul,3,Friday,27
PRD-000087,FP-009,2024-09-27,Line-D,20,Afternoon,MCH-03,OPR-007,Partial,2024,9,Sep,3,Friday,39
PRD-000088,FP-006,2022-03-10,Line-B,11,Night,MCH-14,OPR-014,Partial,2022,3,Mar,1,Thursday,10
PRD-000089,FP-003,2022-01-30,Line-B,6,Morning,MCH-08,OPR-057,Partial,2022,1,Jan,1,Sunday,4
PRD-000090,FP-002,2022-05-03,Line-D,18,Afternoon,MCH-03,OPR-002,Completed,2022,5,May,2,Tuesday,18
PRD-000091,FP-010,2022-10-13,Line-B,21,Afternoon,MCH-09,OPR-039,Completed,2022,10,Oct,4,Thursday,41
PRD-000092,FP-007,2024-02-13,Line-A,23,Morning,MCH-01,OPR-044,Scrapped,2024,2,Feb,1,Tuesday,7
PRD-000093,FP-004,2023-12-10,Line-D,6,Morning,MCH-09,OPR-046,Completed,2023,12,Dec,4,Sunday,49
PRD-000094,FP-010,2023-02-28,Line-A,18,Afternoon,MCH-11,OPR-032,Scrapped,2023,2,Feb,1,Tuesday,9
PRD-000095,FP-001,2023-03-20,Line-B,9,Afternoon,MCH-15,OPR-050,Completed,2023,3,Mar,1,Monday,12
PRD-000096,FP-001,2022-10-28,Line-A,24,Morning,MCH-09,OPR-032,Partial,2022,10,Oct,4,Friday,43
PRD-000097,FP-005,2024-01-18,Line-C,2,Afternoon,MCH-01,OPR-026,Completed,2024,1,Jan,1,Thursday,3
PRD-000098,FP-002,2024-09-21,Line-D,8,Afternoon,MCH-05,OPR-013,Completed,2024,9,Sep,3,Saturday,38
PRD-000099,FP-007,2024-12-06,Line-C,22,Night,MCH-10,OPR-006,Completed,2024,12,Dec,4,Friday,49
PRD-000100,FP-007,2022-05-04,Line-C,9,Night,MCH-10,OPR-002,Completed,2022,5,May,2,Wednesday,18
PRD-000101,FP-003,2024-07-22,Line-D,25,Night,MCH-12,OPR-013,Completed,2024,7,Jul,3,Monday,30
PRD-000102,FP-002,2024-08-24,Line-C,22,Morning,MCH-13,OPR-032,Partial,2024,8,Aug,3,Saturday,34
PRD-000103,FP-008,2023-05-03,Line-C,4,Night,MCH-10,OPR-031,Partial,2023,5,May,2,Wednesday,18
PRD-000104,FP-009,2023-10-06,Line-B,5,Morning,MCH-04,OPR-002,Partial,2023,10,Oct,4,Friday,40
PRD-000105,FP-010,2022-06-12,Line-B,17,Night,MCH-08,OPR-002,Completed,2022,6,Jun,2,Sunday,23
PRD-000106,FP-010,2022-08-01,Line-C,14,Morning,MCH-03,OPR-006,Completed,2022,8,Aug,3,Monday,31
PRD-000107,FP-008,2022-06-16,Line-D,6,Morning,MCH-15,OPR-013,Partial,2022,6,Jun,2,Thursday,24
PRD-000108,FP-006,2024-10-19,Line-A,37,Afternoon,MCH-02,OPR-047,Completed,2024,10,Oct,4,Saturday,42
PRD-000109,FP-002,2024-07-05,Line-C,23,Afternoon,MCH-07,OPR-009,Completed,2024,7,Jul,3,Friday,27
PRD-000110,FP-005,2023-04-03,Line-C,22,Morning,MCH-15,OPR-010,Completed,2023,4,Apr,2,Monday,14
PRD-000111,FP-003,2023-03-21,Line-D,19,Morning,MCH-09,OPR-048,Completed,2023,3,Mar,1,Tuesday,12
PRD-000112,FP-005,2022-01-25,Line-A,30,Morning,MCH-03,OPR-058,Scrapped,2022,1,Jan,1,Tuesday,4
PRD-000113,FP-009,2023-11-22,Line-A,9,Morning,MCH-04,OPR-035,Completed,2023,11,Nov,4,Wednesday,47
PRD-000114,FP-006,2024-07-12,Line-C,23,Morning,MCH-06,OPR-039,Completed,2024,7,Jul,3,Friday,28
PRD-000115,FP-008,2023-12-15,Line-D,28,Afternoon,MCH-09,OPR-001,Partial,2023,12,Dec,4,Friday,50
PRD-000116,FP-007,2022-11-21,Line-A,29,Morning,MCH-08,OPR-030,Scrapped,2022,11,Nov,4,Monday,47
PRD-000117,FP-007,2024-03-22,Line-A,11,Night,MCH-05,OPR-054,Scrapped,2024,3,Mar,1,Friday,12
PRD-000118,FP-008,2024-07-01,Line-A,11,Afternoon,MCH-07,OPR-055,Completed,2024,7,Jul,3,Monday,27
PRD-000119,FP-010,2024-11-19,Line-C,31,Night,MCH-02,OPR-024,Partial,2024,11,Nov,4,Tuesday,47
PRD-000120,FP-007,2022-08-15,Line-B,14,Night,MCH-10,OPR-040,Scrapped,2022,8,Aug,3,Monday,33
PRD-000121,FP-006,2022-07-16,Line-C,15,Night,MCH-12,OPR-024,Partial,2022,7,Jul,3,Saturday,28
PRD-000122,FP-007,2024-01-22,Line-C,5,Afternoon,MCH-11,OPR-031,Scrapped,2024,1,Jan,1,Monday,4
PRD-000123,FP-007,2023-01-05,Line-A,30,Afternoon,MCH-09,OPR-052,Scrapped,2023,1,Jan,1,Thursday,1
PRD-000124,FP-009,2022-02-23,Line-A,13,Night,MCH-09,OPR-011,Partial,2022,2,Feb,1,Wednesday,8
PRD-000125,FP-001,2022-04-03,Line-B,3,Afternoon,MCH-02,OPR-056,Completed,2022,4,Apr,2,Sunday,13
PRD-000126,FP-003,2022-08-16,Line-A,13,Night,MCH-07,OPR-050,Scrapped,2022,8,Aug,3,Tuesday,33
PRD-000127,FP-001,2024-07-05,Line-A,13,Morning,MCH-02,OPR-025,Completed,2024,7,Jul,3,Friday,27
PRD-000128,FP-009,2024-11-25,Line-D,31,Night,MCH-03,OPR-035,Completed,2024,11,Nov,4,Monday,48
PRD-000129,FP-002,2023-10-06,Line-A,27,Night,MCH-13,OPR-001,Completed,2023,10,Oct,4,Friday,40
PRD-000130,FP-005,2022-04-27,Line-A,26,Morning,MCH-10,OPR-024,Partial,2022,4,Apr,2,Wednesday,17
PRD-000131,FP-002,2024-06-17,Line-D,9,Night,MCH-07,OPR-034,Completed,2024,6,Jun,2,Monday,25
PRD-000132,FP-003,2023-03-15,Line-A,8,Morning,MCH-01,OPR-005,Completed,2023,3,Mar,1,Wednesday,11
PRD-000133,FP-005,2024-09-02,Line-D,22,Afternoon,MCH-05,OPR-033,Partial,2024,9,Sep,3,Monday,36
PRD-000134,FP-003,2023-09-23,Line-B,4,Morning,MCH-10,OPR-031,Completed,2023,9,Sep,3,Saturday,38
PRD-000135,FP-002,2023-01-08,Line-D,29,Morning,MCH-10,OPR-029,Partial,2023,1,Jan,1,Sunday,1
PRD-000136,FP-010,2024-12-20,Line-D,6,Morning,MCH-04,OPR-014,Completed,2024,12,Dec,4,Friday,51
PRD-000137,FP-002,2023-09-13,Line-B,19,Afternoon,MCH-13,OPR-046,Completed,2023,9,Sep,3,Wednesday,37
PRD-000138,FP-005,2023-03-05,Line-B,15,Morning,MCH-02,OPR-004,Completed,2023,3,Mar,1,Sunday,9
PRD-000139,FP-003,2022-09-01,Line-B,9,Afternoon,MCH-04,OPR-024,Scrapped,2022,9,Sep,3,Thursday,35
PRD-000140,FP-009,2024-07-24,Line-D,10,Afternoon,MCH-03,OPR-022,Scrapped,2024,7,Jul,3,Wednesday,30
PRD-000141,FP-009,2022-04-05,Line-A,20,Morning,MCH-01,OPR-005,Partial,2022,4,Apr,2,Tuesday,14
PRD-000142,FP-009,2022-01-21,Line-A,24,Night,MCH-10,OPR-044,Completed,2022,1,Jan,1,Friday,3
PRD-000143,FP-008,2023-03-17,Line-A,14,Morning,MCH-02,OPR-052,Completed,2023,3,Mar,1,Friday,11
PRD-000144,FP-005,2022-01-07,Line-D,5,Night,MCH-02,OPR-003,Scrapped,2022,1,Jan,1,Friday,1
PRD-000145,FP-007,2023-01-19,Line-B,18,Morning,MCH-03,OPR-005,Completed,2023,1,Jan,1,Thursday,3
PRD-000146,FP-005,2023-09-13,Line-B,25,Morning,MCH-12,OPR-017,Completed,2023,9,Sep,3,Wednesday,37
PRD-000147,FP-009,2022-07-12,Line-A,29,Morning,MCH-11,OPR-015,Completed,2022,7,Jul,3,Tuesday,28
PRD-000148,FP-005,2023-07-16,Line-D,9,Morning,MCH-03,OPR-027,Completed,2023,7,Jul,3,Sunday,28
PRD-000149,FP-003,2024-01-08,Line-D,25,Afternoon,MCH-13,OPR-002,Completed,2024,1,Jan,1,Monday,2
PRD-000150,FP-009,2024-12-01,Line-D,8,Afternoon,MCH-15,OPR-055,Completed,2024,12,Dec,4,Sunday,48
PRD-000151,FP-010,2023-04-23,Line-D,25,Afternoon,MCH-04,OPR-048,Completed,2023,4,Apr,2,Sunday,16
PRD-000152,FP-007,2024-01-04,Line-C,8,Morning,MCH-12,OPR-041,Completed,2024,1,Jan,1,Thursday,1
PRD-000153,FP-009,2023-06-27,Line-B,4,Afternoon,MCH-14,OPR-016,Completed,2023,6,Jun,2,Tuesday,26
PRD-000154,FP-005,2022-01-06,Line-C,5,Afternoon,MCH-11,OPR-030,Completed,2022,1,Jan,1,Thursday,1
PRD-000155,FP-008,2022-11-24,Line-A,36,Morning,MCH-09,OPR-026,Scrapped,2022,11,Nov,4,Thursday,47
PRD-000156,FP-003,2024-08-27,Line-B,13,Afternoon,MCH-14,OPR-024,Completed,2024,8,Aug,3,Tuesday,35
PRD-000157,FP-004,2022-05-17,Line-B,21,Afternoon,MCH-08,OPR-014,Completed,2022,5,May,2,Tuesday,20
PRD-000158,FP-007,2022-01-29,Line-B,29,Night,MCH-06,OPR-033,Completed,2022,1,Jan,1,Saturday,4
PRD-000159,FP-006,2023-03-13,Line-C,25,Afternoon,MCH-01,OPR-026,Scrapped,2023,3,Mar,1,Monday,11
PRD-000160,FP-002,2024-05-01,Line-A,5,Morning,MCH-11,OPR-003,Completed,2024,5,May,2,Wednesday,18
PRD-000161,FP-007,2022-08-14,Line-A,22,Night,MCH-05,OPR-020,Scrapped,2022,8,Aug,3,Sunday,32
PRD-000162,FP-004,2024-05-17,Line-D,19,Morning,MCH-13,OPR-032,Completed,2024,5,May,2,Friday,20
PRD-000163,FP-001,2024-09-15,Line-A,13,Morning,MCH-04,OPR-009,Partial,2024,9,Sep,3,Sunday,37
PRD-000164,FP-005,2023-05-09,Line-D,13,Night,MCH-01,OPR-054,Completed,2023,5,May,2,Tuesday,19
PRD-000165,FP-005,2022-06-14,Line-C,10,Night,MCH-14,OPR-040,Completed,2022,6,Jun,2,Tuesday,24
PRD-000166,FP-007,2023-01-05,Line-C,8,Night,MCH-14,OPR-029,Completed,2023,1,Jan,1,Thursday,1
PRD-000167,FP-010,2023-06-08,Line-D,7,Night,MCH-08,OPR-032,Completed,2023,6,Jun,2,Thursday,23
PRD-000168,FP-002,2023-12-24,Line-A,16,Morning,MCH-03,OPR-001,Completed,2023,12,Dec,4,Sunday,51
PRD-000169,FP-006,2024-11-02,Line-B,37,Night,MCH-13,OPR-045,Partial,2024,11,Nov,4,Saturday,44
PRD-000170,FP-002,2022-09-28,Line-C,25,Morning,MCH-09,OPR-004,Scrapped,2022,9,Sep,3,Wednesday,39
PRD-000171,FP-007,2024-11-08,Line-C,13,Night,MCH-10,OPR-001,Completed,2024,11,Nov,4,Friday,45
PRD-000172,FP-002,2022-07-22,Line-C,4,Morning,MCH-02,OPR-040,Scrapped,2022,7,Jul,3,Friday,29
PRD-000173,FP-010,2022-04-15,Line-C,29,Afternoon,MCH-11,OPR-030,Scrapped,2022,4,Apr,2,Friday,15
PRD-000174,FP-001,2024-10-26,Line-A,35,Afternoon,MCH-11,OPR-050,Completed,2024,10,Oct,4,Saturday,43
PRD-000175,FP-003,2022-03-03,Line-B,24,Morning,MCH-04,OPR-018,Completed,2022,3,Mar,1,Thursday,9
PRD-000176,FP-005,2023-01-10,Line-C,28,Morning,MCH-01,OPR-047,Scrapped,2023,1,Jan,1,Tuesday,2
PRD-000177,FP-004,2022-08-02,Line-A,24,Night,MCH-11,OPR-051,Completed,2022,8,Aug,3,Tuesday,31
PRD-000178,FP-005,2023-12-17,Line-A,9,Night,MCH-03,OPR-001,Completed,2023,12,Dec,4,Sunday,50
PRD-000179,FP-008,2022-11-27,Line-A,28,Morning,MCH-14,OPR-030,Scrapped,2022,11,Nov,4,Sunday,47
PRD-000180,FP-008,2022-08-11,Line-C,25,Night,MCH-14,OPR-021,Partial,2022,8,Aug,3,Thursday,32
PRD-000181,FP-004,2022-10-12,Line-A,13,Night,MCH-11,OPR-036,Completed,2022,10,Oct,4,Wednesday,41
PRD-000182,FP-002,2023-11-10,Line-B,31,Morning,MCH-03,OPR-044,Completed,2023,11,Nov,4,Friday,45
PRD-000183,FP-001,2022-01-13,Line-C,18,Morning,MCH-05,OPR-057,Completed,2022,1,Jan,1,Thursday,2
PRD-000184,FP-010,2024-07-31,Line-D,22,Afternoon,MCH-08,OPR-024,Partial,2024,7,Jul,3,Wednesday,31
PRD-000185,FP-005,2022-05-16,Line-A,14,Night,MCH-12,OPR-011,Completed,2022,5,May,2,Monday,20
PRD-000186,FP-009,2022-08-16,Line-A,2,Morning,MCH-09,OPR-009,Completed,2022,8,Aug,3,Tuesday,33
PRD-000187,FP-004,2022-11-08,Line-A,16,Morning,MCH-15,OPR-042,Completed,2022,11,Nov,4,Tuesday,45
PRD-000188,FP-008,2022-09-16,Line-B,16,Afternoon,MCH-06,OPR-022,Completed,2022,9,Sep,3,Friday,37
PRD-000189,FP-007,2022-10-26,Line-B,32,Afternoon,MCH-14,OPR-046,Partial,2022,10,Oct,4,Wednesday,43
PRD-000190,FP-009,2023-12-26,Line-B,33,Night,MCH-08,OPR-017,Completed,2023,12,Dec,4,Tuesday,52
PRD-000191,FP-010,2024-05-28,Line-C,25,Morning,MCH-06,OPR-030,Scrapped,2024,5,May,2,Tuesday,22
PRD-000192,FP-004,2023-11-15,Line-D,40,Morning,MCH-05,OPR-029,Scrapped,2023,11,Nov,4,Wednesday,46
PRD-000193,FP-010,2023-06-24,Line-C,22,Night,MCH-15,OPR-002,Scrapped,2023,6,Jun,2,Saturday,25
PRD-000194,FP-010,2022-06-24,Line-C,11,Afternoon,MCH-06,OPR-032,Partial,2022,6,Jun,2,Friday,25
PRD-000195,FP-001,2024-02-05,Line-A,4,Night,MCH-09,OPR-019,Partial,2024,2,Feb,1,Monday,6
PRD-000196,FP-009,2023-03-19,Line-D,27,Morning,MCH-12,OPR-051,Scrapped,2023,3,Mar,1,Sunday,11
PRD-000197,FP-009,2023-07-12,Line-C,8,Night,MCH-05,OPR-006,Completed,2023,7,Jul,3,Wednesday,28
PRD-000198,FP-001,2023-07-24,Line-A,20,Night,MCH-11,OPR-018,Completed,2023,7,Jul,3,Monday,30
PRD-000199,FP-005,2023-07-23,Line-D,28,Morning,MCH-03,OPR-057,Completed,2023,7,Jul,3,Sunday,29
PRD-000200,FP-005,2024-02-08,Line-B,19,Night,MCH-14,OPR-053,Completed,2024,2,Feb,1,Thursday,6
PRD-000201,FP-004,2022-06-08,Line-B,20,Afternoon,MCH-13,OPR-043,Completed,2022,6,Jun,2,Wednesday,23
PRD-000202,FP-003,2023-04-03,Line-C,16,Morning,MCH-13,OPR-059,Completed,2023,4,Apr,2,Monday,14
PRD-000203,FP-009,2022-05-06,Line-A,6,Morning,MCH-02,OPR-057,Completed,2022,5,May,2,Friday,18
PRD-000204,FP-010,2022-03-12,Line-D,24,Night,MCH-06,OPR-034,Completed,2022,3,Mar,1,Saturday,10
PRD-000205,FP-007,2023-12-04,Line-C,14,Afternoon,MCH-02,OPR-001,Completed,2023,12,Dec,4,Monday,49
PRD-000206,FP-008,2022-04-25,Line-B,23,Afternoon,MCH-01,OPR-011,Completed,2022,4,Apr,2,Monday,17
PRD-000207,FP-003,2024-08-29,Line-C,17,Night,MCH-06,OPR-047,Scrapped,2024,8,Aug,3,Thursday,35
PRD-000208,FP-007,2023-12-05,Line-D,21,Afternoon,MCH-07,OPR-033,Partial,2023,12,Dec,4,Tuesday,49
PRD-000209,FP-003,2023-01-20,Line-C,6,Afternoon,MCH-08,OPR-035,Scrapped,2023,1,Jan,1,Friday,3
PRD-000210,FP-005,2023-08-11,Line-D,15,Afternoon,MCH-04,OPR-051,Completed,2023,8,Aug,3,Friday,32
PRD-000211,FP-001,2023-01-19,Line-A,8,Morning,MCH-12,OPR-055,Completed,2023,1,Jan,1,Thursday,3
PRD-000212,FP-005,2024-04-21,Line-B,23,Afternoon,MCH-03,OPR-032,Completed,2024,4,Apr,2,Sunday,16
PRD-000213,FP-004,2022-12-06,Line-C,39,Night,MCH-06,OPR-047,Partial,2022,12,Dec,4,Tuesday,49
PRD-000214,FP-007,2023-08-27,Line-C,2,Morning,MCH-13,OPR-004,Scrapped,2023,8,Aug,3,Sunday,34
PRD-000215,FP-006,2023-08-25,Line-D,9,Afternoon,MCH-15,OPR-022,Completed,2023,8,Aug,3,Friday,34
