component_id,production_id,part_id,qty_consumed,unit_cost,category,component_cost
CMP-0000074,PRD-000016,P0177,21,430.87,Structural,9048.27
CMP-0000075,PRD-000016,P0205,21,841.81,Structural,17678.01
CMP-0000076,PRD-000017,P0118,120,569.67,Electrical,68360.4
CMP-0000077,PRD-000017,P0004,60,547.79,Engine Components,32867.4
CMP-0000078,PRD-000017,P0042,120,535.77,Engine Components,64292.4
CMP-0000079,PRD-000017,P0009,30,249.1,Engine Components,7473.0
CMP-0000080,PRD-000017,P0113,120,235.54,Electrical,28264.8
CMP-0000081,PRD-000018,P0106,27,97.65,Electrical,2636.55
CMP-0000082,PRD-000018,P0111,36,679.6,Electrical,24465.6
CMP-0000083,PRD-000018,P0010,27,84.74,Engine Components,2287.98
CMP-0000084,PRD-000019,P0305,72,522.46,Fuel System,37617.12
CMP-0000085,PRD-000019,P0228,72,498.74,Cooling System,35909.28
CMP-0000086,PRD-000019,P0133,18,32.15,Electrical,578.7
CMP-0000087,PRD-000020,P0152,25,202.73,Hydraulics,5068.25
CMP-0000088,PRD-000020,P0199,25,155.16,Structural,3879.0
CMP-0000089,PRD-000020,P0178,75,637.14,Structural,47785.5
CMP-0000090,PRD-000020,P0163,25,882.75,Hydraulics,22068.75
CMP-0000091,PRD-000021,P0152,88,202.73,Hydraulics,17840.24
CMP-0000092,PRD-000021,P0156,44,449.38,Hydraulics,19772.72
CMP-0000093,PRD-000021,P0181,44,146.86,Structural,6461.84
CMP-0000094,PRD-000021,P0158,88,504.82,Hydraulics,44424.16
CMP-0000095,PRD-000021,P0184,44,849.27,Structural,37367.88
CMP-0000096,PRD-000022,P0099,28,605.2,Electrical,16945.6
CMP-0000097,PRD-000022,P0088,56,718.88,Brake Systems,40257.28
CMP-0000098,PRD-000022,P0137,14,241.78,Hydraulics,3384.92
CMP-0000099,PRD-000022,P0110,28,368.69,Electrical,10323.32
CMP-0000100,PRD-000022,P0075,42,237.24,Brake Systems,9964.08
CMP-0000101,PRD-000023,P0054,16,374.68,Brake Systems,5994.88
CMP-0000102,PRD-000023,P0099,64,605.2,Electrical,38732.8
CMP-0000103,PRD-000023,P0126,48,209.19,Electrical,10041.12
CMP-0000104,PRD-000023,P0121,48,71.84,Electrical,3448.32
CMP-0000105,PRD-000023,P0175,16,201.76,Hydraulics,3228.16
CMP-0000106,PRD-000023,P0069,32,231.19,Brake Systems,7398.08
CMP-0000107,PRD-000024,P0130,27,782.16,Electrical,21118.32
CMP-0000108,PRD-000024,P0221,36,787.23,Cooling System,28340.28
CMP-0000109,PRD-000024,P0207,9,780.76,Structural,7026.84
CMP-0000110,PRD-000024,P0113,27,235.54,Electrical,6359.58
CMP-0000111,PRD-000024,P0185,36,544.26,Structural,19593.36
CMP-0000112,PRD-000025,P0111,26,679.6,Electrical,17669.6
CMP-0000113,PRD-000025,P0026,104,896.57,Engine Components,93243.28
CMP-0000114,PRD-000025,P0244,26,611.85,Cooling System,15908.1
CMP-0000115,PRD-000025,P0017,78,624.02,Engine Components,48673.56
CMP-0000116,PRD-000025,P0112,52,726.64,Electrical,37785.28
CMP-0000117,PRD-000025,P0020,78,595.06,Engine Components,46414.68
CMP-0000118,PRD-000026,P0212,16,868.87,Structural,13901.92
CMP-0000119,PRD-000026,P0155,32,506.33,Hydraulics,16202.56
CMP-0000120,PRD-000026,P0134,32,75.73,Electrical,2423.36
CMP-0000121,PRD-000026,P0214,16,419.38,Structural,6710.08
CMP-0000122,PRD-000027,P0221,60,787.23,Cooling System,47233.8
CMP-0000123,PRD-000027,P0097,80,396.7,Electrical,31736.0
CMP-0000124,PRD-000027,P0109,40,572.34,Electrical,22893.6
CMP-0000125,PRD-000027,P0103,40,528.29,Electrical,21131.6
CMP-0000126,PRD-000027,P0120,80,148.49,Electrical,11879.2
CMP-0000127,PRD-000028,P0185,8,544.26,Structural,4354.08
CMP-0000128,PRD-000028,P0222,24,40.62,Cooling System,974.88
CMP-0000129,PRD-000028,P0184,8,849.27,Structural,6794.16
CMP-0000130,PRD-000028,P0178,24,637.14,Structural,15291.36
CMP-0000131,PRD-000028,P0190,24,735.61,Structural,17654.64
CMP-0000132,PRD-000028,P0176,16,81.43,Structural,1302.88
CMP-0000133,PRD-000029,P0241,27,823.44,Cooling System,22232.88
CMP-0000134,PRD-000029,P0211,27,889.75,Structural,24023.25
CMP-0000135,PRD-000029,P0188,27,50.61,Structural,1366.47
CMP-0000136,PRD-000029,P0121,27,71.84,Electrical,1939.68
CMP-0000137,PRD-000030,P0240,112,192.7,Cooling System,21582.4
CMP-0000138,PRD-000030,P0249,84,554.92,Cooling System,46613.28
CMP-0000139,PRD-000030,P0203,28,502.87,Structural,14080.36
CMP-0000140,PRD-000031,P0045,33,132.1,Engine Components,4359.3
CMP-0000141,PRD-000031,P0044,22,470.03,Engine Components,10340.66
CMP-0000142,PRD-000031,P0127,22,616.04,Electrical,13552.88
CMP-0000143,PRD-000031,P0231,44,224.93,Cooling System,9896.92
CMP-0000144,PRD-000031,P0121,11,71.84,Electrical,790.24
CMP-0000145,PRD-000031,P0037,44,126.3,Engine Components,5557.2
CMP-0000146,PRD-000032,P0294,16,90.19,Fuel System,1443.04
CMP-0000147,PRD-000032,P0104,8,612.93,Electrical,4903.44
CMP-0000148,PRD-000032,P0296,16,552.26,Fuel System,8836.16
CMP-0000149,PRD-000032,P0036,16,445.1,Engine Components,7121.6
CMP-0000150,PRD-000033,P0231,30,224.93,Cooling System,6747.9
CMP-0000151,PRD-000033,P0108,30,555.98,Electrical,16679.4
CMP-0000152,PRD-000033,P0248,30,432.26,Cooling System,12967.8
CMP-0000153,PRD-000033,P0249,10,554.92,Cooling System,5549.2
CMP-0000154,PRD-000033,P0113,10,235.54,Electrical,2355.4
CMP-0000155,PRD-000033,P0099,10,605.2,Electrical,6052.0
CMP-0000156,PRD-000034,P0098,6,765.49,Electrical,4592.94
CMP-0000157,PRD-000034,P0204,2,793.2,Structural,1586.4
CMP-0000158,PRD-000034,P0094,4,355.9,Electrical,1423.6
CMP-0000159,PRD-000034,P0194,8,372.69,Structural,2981.52
CMP-0000160,PRD-000035,P0113,36,235.54,Electrical,8479.44
CMP-0000161,PRD-000035,P0220,18,94.99,Cooling System,1709.82
CMP-0000162,PRD-000035,P0189,18,406.37,Structural,7314.66
CMP-0000163,PRD-000036,P0123,12,773.21,Electrical,9278.52
CMP-0000164,PRD-000036,P0230,12,282.38,Cooling System,3388.56
CMP-0000165,PRD-000036,P0217,12,775.52,Cooling System,9306.24
CMP-0000166,PRD-000036,P0127,48,616.04,Electrical,29569.92
CMP-0000167,PRD-000036,P0004,48,547.79,Engine Components,26293.92
CMP-0000168,PRD-000037,P0235,11,724.71,Cooling System,7971.81
CMP-0000169,PRD-000037,P0103,22,528.29,Electrical,11622.38
CMP-0000170,PRD-000037,P0016,44,660.28,Engine Components,29052.32
CMP-0000171,PRD-000037,P0133,22,32.15,Electrical,707.3
CMP-0000172,PRD-000037,P0001,44,113.53,Engine Components,4995.32
CMP-0000173,PRD-000037,P0049,44,371.32,Engine Components,16338.08
CMP-0000174,PRD-000038,P0124,26,849.33,Electrical,22082.58
CMP-0000175,PRD-000038,P0233,39,22.17,Cooling System,864.63
CMP-0000176,PRD-000038,P0202,52,639.29,Structural,33243.08
CMP-0000177,PRD-000038,P0232,26,276.28,Cooling System,7183.28
CMP-0000178,PRD-000038,P0236,13,614.82,Cooling System,7992.66
CMP-0000179,PRD-000038,P0249,52,554.92,Cooling System,28855.84
CMP-0000180,PRD-000039,P0188,42,50.61,Structural,2125.62
CMP-0000181,PRD-000039,P0183,14,270.42,Structural,3785.88
CMP-0000182,PRD-000039,P0120,42,148.49,Electrical,6236.58
CMP-0000183,PRD-000039,P0115,14,855.79,Electrical,11981.06
CMP-0000184,PRD-000039,P0213,56,103.82,Structural,5813.92
CMP-0000185,PRD-000039,P0205,56,841.81,Structural,47141.36
CMP-0000186,PRD-000040,P0037,26,126.3,Engine Components,3283.8
CMP-0000187,PRD-000040,P0127,52,616.04,Electrical,32034.08
CMP-0000188,PRD-000040,P0236,13,614.82,Cooling System,7992.66
CMP-0000189,PRD-000040,P0239,26,131.3,Cooling System,3413.8
CMP-0000190,PRD-000041,P0205,75,841.81,Structural,63135.75
CMP-0000191,PRD-000041,P0098,100,765.49,Electrical,76549.0
CMP-0000192,PRD-000041,P0100,25,127.65,Electrical,3191.25
CMP-0000193,PRD-000041,P0120,25,148.49,Electrical,3712.25
CMP-0000194,PRD-000042,P0240,15,192.7,Cooling System,2890.5
CMP-0000195,PRD-000042,P0128,20,127.95,Electrical,2559.0
CMP-0000196,PRD-000042,P0107,15,728.81,Electrical,10932.15
CMP-0000197,PRD-000042,P0235,10,724.71,Cooling System,7247.1
CMP-0000198,PRD-000042,P0118,10,569.67,Electrical,5696.7
CMP-0000199,PRD-000043,P0208,6,503.45,Structural,3020.7
CMP-0000200,PRD-000043,P0198,4,122.46,Structural,489.84
CMP-0000201,PRD-000043,P0086,4,635.63,Brake Systems,2542.52
CMP-0000202,PRD-000043,P0077,6,130.78,Brake Systems,784.68
CMP-0000203,PRD-000043,P0193,6,417.52,Structural,2505.12
CMP-0000204,PRD-000043,P0084,8,379.88,Brake Systems,3039.04
CMP-0000205,PRD-000044,P0090,72,582.71,Brake Systems,41955.12
CMP-0000206,PRD-000044,P0178,96,637.14,Structural,61165.44
CMP-0000207,PRD-000044,P0188,48,50.61,Structural,2429.28
CMP-0000208,PRD-000045,P0101,17,813.98,Electrical,13837.66
CMP-0000209,PRD-000045,P0122,68,70.11,Electrical,4767.48
CMP-0000210,PRD-000045,P0090,17,582.71,Brake Systems,9906.07
CMP-0000211,PRD-000045,P0119,34,222.53,Electrical,7566.02
CMP-0000212,PRD-000046,P0120,120,148.49,Electrical,17818.8
CMP-0000213,PRD-000046,P0024,120,683.87,Engine Components,82064.4
CMP-0000214,PRD-000046,P0130,60,782.16,Electrical,46929.6
CMP-0000215,PRD-000046,P0111,60,679.6,Electrical,40776.0
CMP-0000216,PRD-000047,P0156,8,449.38,Hydraulics,3595.04
CMP-0000217,PRD-000047,P0171,24,508.89,Hydraulics,12213.36
CMP-0000218,PRD-000047,P0153,32,542.6,Hydraulics,17363.2
CMP-0000219,PRD-000048,P0080,28,503.98,Brake Systems,14111.44
CMP-0000220,PRD-000048,P0065,28,226.24,Brake Systems,6334.72
CMP-0000221,PRD-000048,P0092,42,866.84,Brake Systems,36407.28
CMP-0000222,PRD-000048,P0131,42,202.32,Electrical,8497.44
CMP-0000223,PRD-000048,P0061,14,541.61,Brake Systems,7582.54
CMP-0000224,PRD-000048,P0066,42,294.82,Brake Systems,12382.44
CMP-0000225,PRD-000049,P0023,24,209.1,Engine Components,5018.4
CMP-0000226,PRD-000049,P0031,6,759.88,Engine Components,4559.28
CMP-0000227,PRD-000049,P0130,24,782.16,Electrical,18771.84
CMP-0000228,PRD-000049,P0011,24,777.61,Engine Components,18662.64
CMP-0000229,PRD-000049,P0009,18,249.1,Engine Components,4483.8
CMP-0000230,PRD-000049,P0020,18,595.06,Engine Components,10711.08
CMP-0000231,PRD-000050,P0151,24,312.71,Hydraulics,7505.04
CMP-0000232,PRD-000050,P0153,12,542.6,Hydraulics,6511.2
CMP-0000233,PRD-000050,P0194,24,372.69,Structural,8944.56
CMP-0000234,PRD-000050,P0143,12,707.63,Hydraulics,8491.56
CMP-0000235,PRD-000050,P0263,48,774.69,Suspension,37185.12
CMP-0000236,PRD-000050,P0209,48,181.96,Structural,8734.08
CMP-0000237,PRD-000051,P0248,20,432.26,Cooling System,8645.2
CMP-0000238,PRD-000051,P0019,10,201.72,Engine Components,2017.2
CMP-0000239,PRD-000051,P0225,30,785.69,Cooling System,23570.7
CMP-0000240,PRD-000051,P0231,30,224.93,Cooling System,6747.9
CMP-0000241,PRD-000051,P0126,40,209.19,Electrical,8367.6
CMP-0000242,PRD-000052,P0295,27,611.46,Fuel System,16509.42
CMP-0000243,PRD-000052,P0133,54,32.15,Electrical,1736.1
CMP-0000244,PRD-000052,P0033,81,15.51,Engine Components,1256.31
CMP-0000245,PRD-000052,P0043,81,217.61,Engine Components,17626.41
CMP-0000246,PRD-000052,P0111,54,679.6,Electrical,36698.4
CMP-0000247,PRD-000053,P0043,20,217.61,Engine Components,4352.2
CMP-0000248,PRD-000053,P0020,5,595.06,Engine Components,2975.3
CMP-0000249,PRD-000053,P0023,5,209.1,Engine Components,1045.5
CMP-0000250,PRD-000054,P0225,19,785.69,Cooling System,14928.11
CMP-0000251,PRD-000054,P0131,38,202.32,Electrical,7688.16
CMP-0000252,PRD-000054,P0233,76,22.17,Cooling System,1684.92
CMP-0000253,PRD-000055,P0226,56,141.66,Cooling System,7932.96
CMP-0000254,PRD-000055,P0221,42,787.23,Cooling System,33063.66
CMP-0000255,PRD-000055,P0110,42,368.69,Electrical,15484.98
CMP-0000256,PRD-000055,P0025,14,715.99,Engine Components,10023.86
CMP-0000257,PRD-000056,P0309,78,365.25,Fuel System,28489.5
CMP-0000258,PRD-000056,P0292,52,484.48,Fuel System,25192.96
CMP-0000259,PRD-000056,P0286,104,116.67,Fuel System,12133.68
CMP-0000260,PRD-000056,P0289,26,40.62,Fuel System,1056.12
CMP-0000261,PRD-000056,P0111,78,679.6,Electrical,53008.8
CMP-0000262,PRD-000056,P0113,52,235.54,Electrical,12248.08
CMP-0000263,PRD-000057,P0209,29,181.96,Structural,5276.84
CMP-0000264,PRD-000057,P0238,29,288.41,Cooling System,8363.89
CMP-0000265,PRD-000057,P0252,116,222.8,Cooling System,25844.8
CMP-0000266,PRD-000058,P0032,3,689.82,Engine Components,2069.46
CMP-0000267,PRD-000058,P0124,9,849.33,Electrical,7643.97
CMP-0000268,PRD-000058,P0287,6,511.45,Fuel System,3068.7
CMP-0000269,PRD-000058,P0094,6,355.9,Electrical,2135.4
CMP-0000270,PRD-000058,P0007,6,316.12,Engine Components,1896.72
CMP-0000271,PRD-000058,P0023,3,209.1,Engine Components,627.3
CMP-0000272,PRD-000059,P0264,48,721.68,Suspension,34640.64
CMP-0000273,PRD-000059,P0151,32,312.71,Hydraulics,10006.72
CMP-0000274,PRD-000059,P0256,16,342.92,Suspension,5486.72
CMP-0000275,PRD-000059,P0179,64,249.13,Structural,15944.32
CMP-0000276,PRD-000059,P0140,48,862.98,Hydraulics,41423.04
CMP-0000277,PRD-000059,P0186,48,236.58,Structural,11355.84
CMP-0000278,PRD-000060,P0202,25,639.29,Structural,15982.25
CMP-0000279,PRD-000060,P0067,100,564.73,Brake Systems,56473.0
CMP-0000280,PRD-000060,P0213,50,103.82,Structural,5191.0
CMP-0000281,PRD-000060,P0177,25,430.87,Structural,10771.75
CMP-0000282,PRD-000060,P0180,25,841.3,Structural,21032.5
CMP-0000283,PRD-000061,P0261,20,75.72,Suspension,1514.4
CMP-0000284,PRD-000061,P0205,5,841.81,Structural,4209.05
CMP-0000285,PRD-000061,P0136,10,607.47,Hydraulics,6074.7
CMP-0000286,PRD-000061,P0188,15,50.61,Structural,759.15
CMP-0000287,PRD-000061,P0275,10,550.8,Suspension,5508.0
CMP-0000288,PRD-000061,P0211,20,889.75,Structural,17795.0
CMP-0000289,PRD-000062,P0022,92,676.11,Engine Components,62202.12
CMP-0000290,PRD-000062,P0251,46,852.44,Cooling System,39212.24
CMP-0000291,PRD-000062,P0249,23,554.92,Cooling System,12763.16
CMP-0000292,PRD-000062,P0244,69,611.85,Cooling System,42217.65
CMP-0000293,PRD-000063,P0192,3,628.9,Structural,1886.7
CMP-0000294,PRD-000063,P0055,6,350.39,Brake Systems,2102.34
CMP-0000295,PRD-000063,P0074,12,195.18,Brake Systems,2342.16
CMP-0000296,PRD-000063,P0269,3,658.61,Suspension,1975.83
CMP-0000297,PRD-000063,P0262,9,305.78,Suspension,2752.02
CMP-0000298,PRD-000063,P0187,9,856.45,Structural,7708.05
CMP-0000299,PRD-000064,P0124,36,849.33,Electrical,30575.88
CMP-0000300,PRD-000064,P0099,36,605.2,Electrical,21787.2
CMP-0000301,PRD-000064,P0096,36,651.7,Electrical,23461.2
CMP-0000302,PRD-000065,P0084,64,379.88,Brake Systems,24312.32
CMP-0000303,PRD-000065,P0057,32,445.7,Brake Systems,14262.4
CMP-0000304,PRD-000065,P0160,32,121.78,Hydraulics,3896.96
CMP-0000305,PRD-000065,P0131,16,202.32,Electrical,3237.12
CMP-0000306,PRD-000066,P0103,4,528.29,Electrical,2113.16
CMP-0000307,PRD-000066,P0114,4,426.21,Electrical,1704.84
CMP-0000308,PRD-000066,P0109,6,572.34,Electrical,3434.04
CMP-0000309,PRD-000067,P0235,54,724.71,Cooling System,39134.34
CMP-0000310,PRD-000067,P0135,72,191.43,Electrical,13782.96
CMP-0000311,PRD-000067,P0036,54,445.1,Engine Components,24035.4
CMP-0000312,PRD-000067,P0116,18,750.05,Electrical,13500.9
CMP-0000313,PRD-000068,P0136,28,607.47,Hydraulics,17009.16
CMP-0000314,PRD-000068,P0148,56,442.9,Hydraulics,24802.4
CMP-0000315,PRD-000068,P0118,42,569.67,Electrical,23926.14
CMP-0000316,PRD-000068,P0205,28,841.81,Structural,23570.68
CMP-0000317,PRD-000069,P0107,36,728.81,Electrical,26237.16
CMP-0000318,PRD-000069,P0198,9,122.46,Structural,1102.14
CMP-0000319,PRD-000069,P0192,18,628.9,Structural,11320.2
CMP-0000320,PRD-000069,P0176,18,81.43,Structural,1465.74
CMP-0000321,PRD-000069,P0096,36,651.7,Electrical,23461.2
CMP-0000322,PRD-000069,P0125,18,676.55,Electrical,12177.9
CMP-0000323,PRD-000070,P0102,100,752.85,Electrical,75285.0
CMP-0000324,PRD-000070,P0199,75,155.16,Structural,11637.0
CMP-0000325,PRD-000070,P0193,75,417.52,Structural,31314.0
CMP-0000326,PRD-000070,P0176,75,81.43,Structural,6107.25
CMP-0000327,PRD-000071,P0115,25,855.79,Electrical,21394.75
CMP-0000328,PRD-000071,P0158,50,504.82,Hydraulics,25241.0
CMP-0000329,PRD-000071,P0204,25,793.2,Structural,19830.0
CMP-0000330,PRD-000072,P0085,48,779.7,Brake Systems,37425.6
CMP-0000331,PRD-000072,P0149,48,300.24,Hydraulics,14411.52
CMP-0000332,PRD-000072,P0079,12,626.55,Brake Systems,7518.6
CMP-0000333,PRD-000072,P0119,36,222.53,Electrical,8011.08
CMP-0000334,PRD-000072,P0112,48,726.64,Electrical,34878.72
CMP-0000335,PRD-000073,P0090,12,582.71,Brake Systems,6992.52
CMP-0000336,PRD-000073,P0190,24,735.61,Structural,17654.64
CMP-0000337,PRD-000073,P0064,6,294.99,Brake Systems,1769.94
CMP-0000338,PRD-000073,P0072,18,845.95,Brake Systems,15227.1
CMP-0000339,PRD-000073,P0259,18,601.55,Suspension,10827.9
CMP-0000340,PRD-000074,P0041,9,213.86,Engine Components,1924.74
CMP-0000341,PRD-000074,P0102,18,752.85,Electrical,13551.3
CMP-0000342,PRD-000074,P0037,36,126.3,Engine Components,4546.8
CMP-0000343,PRD-000074,P0121,27,71.84,Electrical,1939.68
CMP-0000344,PRD-000075,P0128,36,127.95,Electrical,4606.2
CMP-0000345,PRD-000075,P0012,36,600.22,Engine Components,21607.92
CMP-0000346,PRD-000075,P0103,54,528.29,Electrical,28527.66
CMP-0000347,PRD-000075,P0111,54,679.6,Electrical,36698.4
CMP-0000348,PRD-000075,P0033,54,15.51,Engine Components,837.54
CMP-0000349,PRD-000076,P0258,38,367.35,Suspension,13959.3
CMP-0000350,PRD-000076,P0088,19,718.88,Brake Systems,13658.72
CMP-0000351,PRD-000076,P0072,19,845.95,Brake Systems,16073.05
CMP-0000352,PRD-000076,P0057,19,445.7,Brake Systems,8468.3
CMP-0000353,PRD-000076,P0257,57,883.12,Suspension,50337.84
CMP-0000354,PRD-000076,P0062,57,848.31,Brake Systems,48353.67
CMP-0000355,PRD-000077,P0161,10,625.79,Hydraulics,6257.9
CMP-0000356,PRD-000077,P0178,30,637.14,Structural,19114.2
CMP-0000357,PRD-000077,P0092,10,866.84,Brake Systems,8668.4
CMP-0000358,PRD-000078,P0132,24,680.53,Electrical,16332.72
CMP-0000359,PRD-000078,P0140,72,862.98,Hydraulics,62134.56
CMP-0000360,PRD-000078,P0103,48,528.29,Electrical,25357.92
CMP-0000361,PRD-000078,P0129,24,514.49,Electrical,12347.76
CMP-0000362,PRD-000078,P0106,48,97.65,Electrical,4687.2
CMP-0000363,PRD-000079,P0209,12,181.96,Structural,2183.52
CMP-0000364,PRD-000079,P0192,6,628.9,Structural,3773.4
CMP-0000365,PRD-000079,P0149,24,300.24,Hydraulics,7205.76
CMP-0000366,PRD-000079,P0127,6,616.04,Electrical,3696.24
CMP-0000367,PRD-000080,P0097,90,396.7,Electrical,35703.0
CMP-0000368,PRD-000080,P0096,90,651.7,Electrical,58653.0
CMP-0000369,PRD-000080,P0289,30,40.62,Fuel System,1218.6
CMP-0000370,PRD-000081,P0125,40,676.55,Electrical,27062.0
CMP-0000371,PRD-000081,P0103,160,528.29,Electrical,84526.4
CMP-0000372,PRD-000081,P0136,120,607.47,Hydraulics,72896.4
CMP-0000373,PRD-000081,P0122,160,70.11,Electrical,11217.6
CMP-0000374,PRD-000081,P0131,40,202.32,Electrical,8092.8
CMP-0000375,PRD-000082,P0195,66,495.2,Structural,32683.2
CMP-0000376,PRD-000082,P0160,22,121.78,Hydraulics,2679.16
CMP-0000377,PRD-000082,P0164,88,173.81,Hydraulics,15295.28
CMP-0000378,PRD-000082,P0278,22,660.71,Suspension,14535.62
CMP-0000379,PRD-000082,P0152,22,202.73,Hydraulics,4460.06
CMP-0000380,PRD-000083,P0280,3,751.12,Suspension,2253.36
CMP-0000381,PRD-000083,P0178,9,637.14,Structural,5734.26
CMP-0000382,PRD-000083,P0265,3,332.04,Suspension,996.12
CMP-0000383,PRD-000083,P0177,6,430.87,Structural,2585.22
CMP-0000384,PRD-000083,P0196,12,566.03,Structural,6792.36
CMP-0000385,PRD-000084,P0279,12,346.26,Suspension,4155.12
CMP-0000386,PRD-000084,P0057,24,445.7,Brake Systems,10696.8
CMP-0000387,PRD-000084,P0209,18,181.96,Structural,3275.28
CMP-0000388,PRD-000084,P0184,12,849.27,Structural,10191.24
CMP-0000389,PRD-000085,P0144,66,76.03,Hydraulics,5017.98
CMP-0000390,PRD-000085,P0078,66,639.52,Brake Systems,42208.32
CMP-0000391,PRD-000085,P0164,44,173.81,Hydraulics,7647.64
CMP-0000392,PRD-000085,P0079,22,626.55,Brake Systems,13784.1
CMP-0000393,PRD-000086,P0024,26,683.87,Engine Components,17780.62
